,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012,KCRQ 02/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,46,63,47,64,M,M,M,M,0.00,0.05,M,M,
3,2,44,60,47,64,M,M,M,M,0.00,0.05,M,M,
4,3,46,72,47,64,M,M,M,M,0.00,0.05,M,M,
5,4,48,70,47,64,M,M,M,M,0.00,0.06,M,M,
6,5,48,71,47,64,M,M,M,M,0.00,0.06,M,M,
7,6,47,67,48,64,M,M,M,M,0.00,0.06,M,M,
8,7,54,63,48,64,M,M,M,M,0.08,0.07,M,M,
9,8,48,68,48,64,M,M,M,M,0.00,0.07,M,M,
10,9,53,80,48,64,M,M,M,M,0.00,0.08,M,M,
11,10,49,66,48,64,M,M,M,M,0.00,0.08,M,M,
12,11,54,60,48,64,M,M,M,M,T,0.09,M,M,
13,12,50,60,48,64,M,M,M,M,0.00,0.10,M,M,
14,13,51,58,48,64,M,M,M,M,0.11,0.11,M,M,
15,14,47,57,48,64,M,M,M,M,0.28,0.10,M,M,
16,15,45,58,48,64,M,M,M,M,0.36,0.11,M,M,
17,16,40,68,48,64,M,M,M,M,0.00,0.10,M,M,
18,17,47,66,48,64,M,M,M,M,0.00,0.10,M,M,
19,18,45,59,48,64,M,M,M,M,0.00,0.11,M,M,
20,19,51,60,48,64,M,M,M,M,0.00,0.10,M,M,
21,20,47,60,48,64,M,M,M,M,0.00,0.10,M,M,
22,21,44,69,48,64,M,M,M,M,0.00,0.11,M,M,
23,22,49,74,49,64,M,M,M,M,0.00,0.11,M,M,
24,23,50,73,49,64,M,M,M,M,0.00,0.10,M,M,
25,24,52,61,49,64,M,M,M,M,0.00,0.11,M,M,
26,25,53,60,49,64,M,M,M,M,0.00,0.11,M,M,
27,26,51,59,49,64,M,M,M,M,0.00,0.09,M,M,
28,27,44,58,49,64,M,M,M,M,0.76,0.08,M,M,
29,28,45,56,49,64,M,M,M,M,0.05,0.08,M,M,
30,29,43,57,49,64,M,M,M,M,T,0.10,M,M,
31,Average:,48.0,63.9,48.1,64.0,,,,,Total: 1.64,Total: 2.54,,,
