,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018,KCRQ 06/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,60,68,58,68,M,M,M,M,0.00,0.01,M,M,
3,2,57,71,58,68,M,M,M,M,0.00,0.00,M,M,
4,3,59,69,58,69,M,M,M,M,0.00,0.01,M,M,
5,4,60,67,58,69,M,M,M,M,0.00,0.00,M,M,
6,5,61,67,58,69,M,M,M,M,0.00,0.01,M,M,
7,6,60,69,59,69,M,M,M,M,0.00,0.00,M,M,
8,7,59,66,59,69,M,M,M,M,0.00,0.01,M,M,
9,8,57,72,59,69,M,M,M,M,0.00,0.00,M,M,
10,9,58,71,59,69,M,M,M,M,0.00,0.01,M,M,
11,10,62,71,59,69,M,M,M,M,0.00,0.00,M,M,
12,11,59,71,59,70,M,M,M,M,0.00,0.01,M,M,
13,12,60,69,59,70,M,M,M,M,0.00,0.00,M,M,
14,13,59,70,59,70,M,M,M,M,0.00,0.00,M,M,
15,14,60,76,59,70,M,M,M,M,0.00,0.00,M,M,
16,15,63,71,59,70,M,M,M,M,0.00,0.01,M,M,
17,16,60,64,59,70,M,M,M,M,0.00,0.00,M,M,
18,17,60,65,60,71,M,M,M,M,0.00,0.00,M,M,
19,18,60,68,60,71,M,M,M,M,0.00,0.00,M,M,
20,19,61,68,60,71,M,M,M,M,0.00,0.01,M,M,
21,20,61,68,60,71,M,M,M,M,0.00,0.00,M,M,
22,21,62,69,60,71,M,M,M,M,0.00,0.00,M,M,
23,22,62,71,60,71,M,M,M,M,0.00,0.00,M,M,
24,23,61,67,60,71,M,M,M,M,0.00,0.01,M,M,
25,24,61,68,61,71,M,M,M,M,0.00,0.00,M,M,
26,25,61,69,61,72,M,M,M,M,0.00,0.00,M,M,
27,26,63,72,61,72,M,M,M,M,0.00,0.01,M,M,
28,27,62,70,61,72,M,M,M,M,0.00,0.00,M,M,
29,28,62,68,61,72,M,M,M,M,0.00,0.00,M,M,
30,29,62,70,61,72,M,M,M,M,0.00,0.01,M,M,
31,30,62,69,61,72,M,M,M,M,0.00,0.00,M,M,
32,Average:,60.5,69.1,59.5,70.3,,,,,Total: 0.00,Total: 0.11,,,
