,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019,KCRQ 11/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,50,75,55,71,M,M,M,M,0.00,0.07,M,M,
3,2,51,75,55,71,M,M,M,M,0.00,0.05,M,M,
4,3,49,74,54,71,M,M,M,M,0.00,0.06,M,M,
5,4,51,71,54,70,M,M,M,M,0.00,0.04,M,M,
6,5,51,70,54,70,M,M,M,M,0.00,0.04,M,M,
7,6,56,66,54,70,M,M,M,M,0.00,0.04,M,M,
8,7,56,67,53,70,M,M,M,M,0.00,0.04,M,M,
9,8,51,71,53,70,M,M,M,M,0.00,0.04,M,M,
10,9,58,81,53,70,M,M,M,M,0.00,0.04,M,M,
11,10,53,67,53,69,M,M,M,M,0.00,0.05,M,M,
12,11,55,66,52,69,M,M,M,M,0.00,0.03,M,M,
13,12,53,68,52,69,M,M,M,M,0.00,0.03,M,M,
14,13,54,66,52,69,M,M,M,M,0.00,0.04,M,M,
15,14,57,67,52,69,M,M,M,M,0.00,0.03,M,M,
16,15,55,67,51,68,M,M,M,M,0.00,0.03,M,M,
17,16,50,68,51,68,M,M,M,M,0.00,0.04,M,M,
18,17,54,89,51,68,M,M,M,M,0.00,0.03,M,M,
19,18,60,91,51,68,M,M,M,M,0.00,0.04,M,M,
20,19,59,77,50,67,M,M,M,M,0.06,0.03,M,M,
21,20,52,62,50,67,M,M,M,M,0.92,0.04,M,M,
22,21,54,64,50,67,M,M,M,M,0.04,0.04,M,M,
23,22,51,67,50,67,M,M,M,M,0.00,0.03,M,M,
24,23,52,71,49,67,M,M,M,M,0.00,0.04,M,M,
25,24,51,71,49,66,M,M,M,M,0.00,0.03,M,M,
26,25,49,68,49,66,M,M,M,M,0.00,0.03,M,M,
27,26,51,67,49,66,M,M,M,M,0.00,0.03,M,M,
28,27,48,62,49,66,M,M,M,M,0.50,0.03,M,M,
29,28,48,58,48,66,M,M,M,M,1.71,0.03,M,M,
30,29,46,57,48,65,M,M,M,M,0.32,0.02,M,M,
31,30,46,62,48,65,M,M,M,M,T,0.03,M,M,
32,Average:,52.4,69.5,51.3,68.2,,,,,Total: 3.55,Total: 1.12,,,
