,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019,KCRQ 10/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,56,70,61,73,M,M,M,M,0.00,0.00,M,M,
3,2,56,73,60,73,M,M,M,M,0.00,0.00,M,M,
4,3,57,72,60,73,M,M,M,M,0.00,0.01,M,M,
5,4,55,72,60,73,M,M,M,M,0.00,0.01,M,M,
6,5,53,74,60,73,M,M,M,M,0.00,0.01,M,M,
7,6,55,78,60,73,M,M,M,M,0.00,0.02,M,M,
8,7,57,77,60,73,M,M,M,M,0.00,0.01,M,M,
9,8,54,73,59,73,M,M,M,M,0.00,0.02,M,M,
10,9,62,69,59,73,M,M,M,M,0.00,0.02,M,M,
11,10,59,72,59,73,M,M,M,M,0.00,0.01,M,M,
12,11,56,88,59,73,M,M,M,M,0.00,0.02,M,M,
13,12,55,73,59,73,M,M,M,M,0.00,0.02,M,M,
14,13,56,70,59,73,M,M,M,M,0.00,0.02,M,M,
15,14,61,70,58,73,M,M,M,M,0.00,0.02,M,M,
16,15,56,72,58,73,M,M,M,M,0.00,0.03,M,M,
17,16,59,81,58,73,M,M,M,M,0.00,0.02,M,M,
18,17,61,72,58,72,M,M,M,M,0.00,0.02,M,M,
19,18,59,72,58,72,M,M,M,M,0.00,0.03,M,M,
20,19,56,74,57,72,M,M,M,M,0.00,0.02,M,M,
21,20,55,73,57,72,M,M,M,M,0.00,0.02,M,M,
22,21,61,89,57,72,M,M,M,M,0.00,0.03,M,M,
23,22,63,91,57,72,M,M,M,M,0.00,0.02,M,M,
24,23,63,84,57,72,M,M,M,M,0.00,0.03,M,M,
25,24,61,92,57,72,M,M,M,M,0.00,0.02,M,M,
26,25,65,91,56,72,M,M,M,M,0.00,0.03,M,M,
27,26,61,84,56,72,M,M,M,M,0.00,0.03,M,M,
28,27,58,68,56,72,M,M,M,M,0.00,0.02,M,M,
29,28,53,78,56,71,M,M,M,M,0.00,0.03,M,M,
30,29,51,69,56,71,M,M,M,M,0.00,0.03,M,M,
31,30,51,78,55,71,M,M,M,M,0.00,0.03,M,M,
32,31,46,75,55,71,M,M,M,M,0.00,0.03,M,M,
33,Average:,57.1,76.6,58.0,72.4,,,,,Total: 0.00,Total: 0.63,,,
