,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020,KCRQ 08/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,65,76,65,74,M,M,M,M,0.00,0.00,M,M,
3,2,62,75,65,74,M,M,M,M,0.00,0.00,M,M,
4,3,64,73,65,74,M,M,M,M,0.00,0.00,M,M,
5,4,65,73,65,74,M,M,M,M,0.00,0.00,M,M,
6,5,65,71,65,74,M,M,M,M,0.00,0.00,M,M,
7,6,63,72,65,74,M,M,M,M,0.00,0.00,M,M,
8,7,61,72,65,75,M,M,M,M,0.00,0.00,M,M,
9,8,65,75,65,75,M,M,M,M,0.00,0.01,M,M,
10,9,64,73,65,75,M,M,M,M,0.00,0.00,M,M,
11,10,64,73,65,75,M,M,M,M,0.00,0.00,M,M,
12,11,63,73,65,75,M,M,M,M,0.00,0.00,M,M,
13,12,60,75,65,75,M,M,M,M,0.00,0.00,M,M,
14,13,68,86,65,75,M,M,M,M,0.00,0.01,M,M,
15,14,68,85,65,75,M,M,M,M,0.00,0.00,M,M,
16,15,70,83,65,75,M,M,M,M,0.00,0.00,M,M,
17,16,71,83,65,75,M,M,M,M,0.00,0.01,M,M,
18,17,69,81,65,75,M,M,M,M,0.00,0.00,M,M,
19,18,71,86,65,75,M,M,M,M,0.00,0.00,M,M,
20,19,72,82,65,75,M,M,M,M,0.00,0.01,M,M,
21,20,71,84,65,75,M,M,M,M,0.00,0.00,M,M,
22,21,71,90,65,75,M,M,M,M,0.00,0.01,M,M,
23,22,75,88,65,75,M,M,M,M,0.00,0.00,M,M,
24,23,73,83,65,76,M,M,M,M,0.00,0.01,M,M,
25,24,72,81,65,76,M,M,M,M,0.00,0.00,M,M,
26,25,71,78,65,76,M,M,M,M,0.00,0.00,M,M,
27,26,68,77,65,76,M,M,M,M,0.00,0.01,M,M,
28,27,67,80,65,76,M,M,M,M,0.00,0.00,M,M,
29,28,68,75,65,76,M,M,M,M,0.00,0.01,M,M,
30,29,66,74,64,76,M,M,M,M,0.00,0.00,M,M,
31,30,66,75,64,76,M,M,M,M,0.00,0.01,M,M,
32,31,66,74,64,76,M,M,M,M,0.00,0.00,M,M,
33,Average:,67.2,78.3,64.9,75.1,,,,,Total: 0.00,Total: 0.09,,,
