,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020,KCRQ 12/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,49,70,48,65,M,M,M,M,0.00,0.03,M,M,
3,2,47,74,48,65,M,M,M,M,0.00,0.03,M,M,
4,3,50,73,47,65,M,M,M,M,0.00,0.03,M,M,
5,4,44,72,47,65,M,M,M,M,0.00,0.03,M,M,
6,5,47,69,47,65,M,M,M,M,0.00,0.03,M,M,
7,6,45,68,47,64,M,M,M,M,0.00,0.04,M,M,
8,7,48,70,47,64,M,M,M,M,0.00,0.04,M,M,
9,8,57,84,47,64,M,M,M,M,0.00,0.04,M,M,
10,9,50,72,47,64,M,M,M,M,0.00,0.03,M,M,
11,10,48,62,47,64,M,M,M,M,0.00,0.03,M,M,
12,11,48,61,46,64,M,M,M,M,0.00,0.03,M,M,
13,12,47,60,46,64,M,M,M,M,0.00,0.04,M,M,
14,13,46,68,46,64,M,M,M,M,0.00,0.03,M,M,
15,14,49,62,46,64,M,M,M,M,0.00,0.04,M,M,
16,15,45,69,46,64,M,M,M,M,0.00,0.04,M,M,
17,16,45,66,46,64,M,M,M,M,0.00,0.05,M,M,
18,17,46,61,46,64,M,M,M,M,0.00,0.04,M,M,
19,18,49,67,46,64,M,M,M,M,0.00,0.05,M,M,
20,19,46,71,46,63,M,M,M,M,0.00,0.04,M,M,
21,20,48,72,46,63,M,M,M,M,0.00,0.06,M,M,
22,21,52,76,46,63,M,M,M,M,0.00,0.06,M,M,
23,22,46,63,46,63,M,M,M,M,0.00,0.06,M,M,
24,23,44,65,46,63,M,M,M,M,0.00,0.06,M,M,
25,24,53,67,46,63,M,M,M,M,T,0.07,M,M,
26,25,50,68,46,63,M,M,M,M,0.00,0.07,M,M,
27,26,46,64,46,63,M,M,M,M,0.00,0.09,M,M,
28,27,50,61,46,63,M,M,M,M,0.01,0.10,M,M,
29,28,50,59,46,63,M,M,M,M,0.74,0.11,M,M,
30,29,46,63,46,64,M,M,M,M,0.04,0.12,M,M,
31,30,42,64,46,64,M,M,M,M,0.00,0.11,M,M,
32,31,43,63,47,64,M,M,M,M,0.00,0.11,M,M,
33,Average:,47.6,67.2,46.4,63.8,,,,,Total: 0.79,Total: 1.71,,,
