,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021,KCRQ 03/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,47,72,49,64,M,M,M,M,0.00,0.11,M,M,
3,2,44,70,49,64,M,M,M,M,0.00,0.12,M,M,
4,3,45,58,49,64,M,M,M,M,0.43,0.12,M,M,
5,4,50,61,49,64,M,M,M,M,0.00,0.11,M,M,
6,5,46,66,49,63,M,M,M,M,0.00,0.10,M,M,
7,6,50,63,50,63,M,M,M,M,T,0.10,M,M,
8,7,52,60,50,63,M,M,M,M,T,0.10,M,M,
9,8,54,63,50,63,M,M,M,M,0.01,0.09,M,M,
10,9,48,60,50,63,M,M,M,M,0.00,0.08,M,M,
11,10,50,59,50,64,M,M,M,M,0.11,0.07,M,M,
12,11,47,56,50,64,M,M,M,M,0.59,0.07,M,M,
13,12,45,57,50,64,M,M,M,M,0.03,0.05,M,M,
14,13,48,60,50,64,M,M,M,M,0.00,0.03,M,M,
15,14,51,58,50,64,M,M,M,M,T,0.02,M,M,
16,15,48,55,50,64,M,M,M,M,0.18,0.03,M,M,
17,16,44,57,50,64,M,M,M,M,0.00,0.02,M,M,
18,17,44,59,50,64,M,M,M,M,0.00,0.02,M,M,
19,18,47,60,50,64,M,M,M,M,0.00,0.03,M,M,
20,19,48,65,50,64,M,M,M,M,0.00,0.03,M,M,
21,20,51,62,50,64,M,M,M,M,0.00,0.04,M,M,
22,21,48,61,50,64,M,M,M,M,0.00,0.02,M,M,
23,22,47,63,50,64,M,M,M,M,0.00,0.03,M,M,
24,23,52,61,50,64,M,M,M,M,0.00,0.02,M,M,
25,24,47,67,50,64,M,M,M,M,0.00,0.04,M,M,
26,25,52,58,51,64,M,M,M,M,0.05,0.02,M,M,
27,26,50,60,51,64,M,M,M,M,0.01,0.04,M,M,
28,27,46,68,51,64,M,M,M,M,0.00,0.03,M,M,
29,28,49,82,51,64,M,M,M,M,0.00,0.03,M,M,
30,29,51,71,51,64,M,M,M,M,0.00,0.03,M,M,
31,30,54,66,51,64,M,M,M,M,0.00,0.03,M,M,
32,31,50,83,51,64,M,M,M,M,0.00,0.05,M,M,
33,Average:,48.5,63.3,50.1,63.8,,,,,Total: 1.41,Total: 1.68,,,
