,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021,KCRQ 05/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,58,66,55,67,45,1999,83,2011,0.00,0.01,0.02,2012,
3,2,57,65,56,67,50,2002,86,2014,0.01,0.02,0.04,2018,
4,3,58,67,56,67,50,2018,84,2014,0.00,0.01,0.21,2003,
5,4,58,69,56,67,51,1999,80,2011,0.00,0.01,0.09,1998,
6,5,57,70,56,67,49,1999,77,2020,0.00,0.01,0.17,1998,
7,6,58,64,56,68,50,2017,82,2020,0.00,0.01,0.29,2013,
8,7,58,65,56,68,49,2017,83,2007,0.00,0.01,0.62,2017,
9,8,58,65,57,68,49,2017,88,2007,0.00,0.01,0.23,2015,
10,9,57,65,57,68,50,2003,74,2004,0.00,0.01,0.13,2019,
11,10,58,65,57,68,48,2003,69,2020,0.00,0.02,0.01,2017,
12,11,57,66,57,68,50,2003,74,2013,0.00,0.01,0.03,2019,
13,12,60,68,57,68,48,2010,86,2014,0.00,0.01,0.70,1998,
14,13,61,66,57,68,50,1998,77,2005,0.00,0.01,0.08,1998,
15,14,60,68,57,68,51,1998,75,2004,0.00,0.01,0.31,2015,
16,15,59,65,57,68,50,1998,78,2004,0.00,0.01,0.43,2015,
17,16,56,62,58,68,52,2003,84,2008,T,0.01,0.18,2019,
18,17,57,67,58,68,51,1999,83,2008,0.01,0.01,0.25,2011,
19,18,59,66,58,68,52,1998,84,2008,T,0.01,0.45,2011,
20,19,59,67,58,68,51,1998,79,2008,0.00,0.01,0.32,2019,
21,20,56,65,58,68,53,2010,81,2017,0.00,0.01,0.16,2019,
22,21,54,63,58,68,52,2002,78,2005,0.00,0.00,0.01,2018,
23,22,53,61,58,68,49,2002,71,2005,0.00,0.01,0.86,2006,
24,23,51,66,58,68,51,2021,73,2017,0.00,0.01,0.12,2008,
25,24,54,71,58,68,51,2010,74,2006,0.00,0.00,0.03,2018,
26,25,57,75,58,68,53,2010,75,2021,0.00,0.01,0.03,1998,
27,26,58,67,59,68,54,1998,72,2020,0.00,0.01,0.09,2019,
28,27,57,64,59,68,52,1998,73,2020,0.00,0.00,0.14,2001,
29,28,56,65,59,68,52,1998,75,2000,0.00,0.01,0.01,2000,
30,29,57,63,59,68,53,2010,73,2013,0.00,0.00,0.01,2011,
31,30,58,63,59,68,53,1998,74,2006,0.00,0.01,0.02,1999,
32,31,58,66,59,68,53,1998,78,2004,0.00,0.00,T,2018,
33,Average:,57.2,66.0,57.5,67.8,,,,,Total: 0.02,Total: 0.28,,,
