,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009,KOKB 04/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,65,-99,-99,37,2000,81,2005,0.00,0.00,,undefined,
3,2,53,63,-99,-99,40,2006,77,2005,0.00,0.00,,undefined,
4,3,48,65,-99,-99,45,2003,69,2006,0.01,0.00,,undefined,
5,4,43,68,-99,-99,43,2009,70,2006,0.00,0.00,,undefined,
6,5,38,79,-99,-99,38,2009,79,2009,0.00,0.00,,undefined,
7,6,38,81,-99,-99,38,2009,84,2005,0.00,0.00,,undefined,
8,7,38,67,-99,-99,38,2009,70,2003,-0.88,0.00,,undefined,
9,8,48,66,-99,-99,39,2001,79,2003,-0.88,0.00,,undefined,
10,9,43,66,-99,-99,43,2009,71,2003,0.00,0.00,,undefined,
11,10,51,66,-99,-99,40,2008,70,2007,0.00,0.00,,undefined,
12,11,48,66,-99,-99,43,2008,79,2008,0.00,0.00,,undefined,
13,12,42,67,-99,-99,42,2009,92,2008,0.00,0.00,,undefined,
14,13,41,72,-99,-99,41,2009,88,2008,0.00,0.00,,undefined,
15,14,50,66,-99,-99,42,2007,79,2008,0.00,0.00,,undefined,
16,15,44,61,-99,-99,44,2009,70,2005,0.00,0.00,,undefined,
17,16,41,64,-99,-99,41,2009,71,2005,0.00,0.00,,undefined,
18,17,38,69,-99,-99,38,2009,78,2008,0.00,0.00,,undefined,
19,18,40,76,-99,-99,40,2009,76,2009,0.00,0.00,,undefined,
20,19,46,90,-99,-99,41,2002,90,2009,0.00,0.00,,undefined,
21,20,49,98,-99,-99,42,2002,98,2009,0.00,0.00,,undefined,
22,21,54,86,-99,-99,42,2008,86,2009,0.00,0.00,,undefined,
23,22,56,68,-99,-99,40,2002,70,2002,0.00,0.00,,undefined,
24,23,59,69,-99,-99,42,2001,77,2004,0.00,0.00,,undefined,
25,24,58,65,-99,-99,43,2006,80,2001,0.00,0.00,,undefined,
26,25,47,63,-99,-99,43,2006,84,2008,0.00,0.00,,undefined,
27,26,44,66,-99,-99,44,2009,91,2004,0.00,0.00,,undefined,
28,27,53,65,-99,-99,45,2002,97,2008,0.00,0.00,,undefined,
29,28,55,65,-99,-99,42,2002,91,2008,0.00,0.00,,undefined,
30,29,43,65,-99,-99,42,2002,71,2000,0.00,0.00,,undefined,
31,30,46,69,-99,-99,44,2002,75,2004,0.00,0.00,,undefined,
32,Average:,46.6,69.9,-99.0,-99.0,,,,,Total: -1.75,Total: 0.00,,,
