,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010,KOKB 02/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,43,64,-99,-99,32,2002,73,2003,0.00,0.00,,undefined,
3,2,49,61,-99,-99,30,2002,83,2000,0.00,0.00,,undefined,
4,3,43,62,-99,-99,32,2002,79,2000,0.00,0.00,,undefined,
5,4,47,63,-99,-99,32,2002,85,2001,0.00,0.00,,undefined,
6,5,50,61,-99,-99,29,2002,85,2007,0.33,0.00,,undefined,
7,6,53,62,-99,-99,29,2002,79,2006,0.54,0.00,,undefined,
8,7,43,59,-99,-99,31,2002,76,2000,0.01,0.00,,undefined,
9,8,39,62,-99,-99,32,2001,82,2006,0.00,0.00,,undefined,
10,9,44,61,-99,-99,34,2001,83,2002,0.28,0.00,,undefined,
11,10,38,58,-99,-99,30,2002,81,2002,0.00,0.00,,undefined,
12,11,39,61,-99,-99,32,2002,77,2002,0.00,0.00,,undefined,
13,12,43,63,-99,-99,32,2002,82,2006,0.00,0.00,,undefined,
14,13,39,69,-99,-99,31,2004,82,2006,0.01,0.00,,undefined,
15,14,42,76,-99,-99,36,2008,76,2010,0.00,0.00,,undefined,
16,15,43,76,-99,-99,33,2008,76,2010,0.00,0.00,,undefined,
17,16,43,75,-99,-99,34,2008,75,2010,0.00,0.00,,undefined,
18,17,42,72,-99,-99,37,2009,89,2007,0.00,0.00,,undefined,
19,18,39,64,-99,-99,38,2009,72,2007,0.00,0.00,,undefined,
20,19,53,63,-99,-99,34,2009,79,2000,0.06,0.00,,undefined,
21,20,50,61,-99,-99,35,2006,69,2009,0.19,0.00,,undefined,
22,21,47,62,-99,-99,35,2006,83,2002,0.10,0.00,,undefined,
23,22,41,63,-99,-99,41,2010,91,2002,0.06,0.00,,undefined,
24,23,36,65,-99,-99,35,2006,73,2009,0.00,0.00,,undefined,
25,24,38,63,-99,-99,36,2001,66,2002,0.01,0.00,,undefined,
26,25,50,64,-99,-99,37,2007,79,2005,0.01,0.00,,undefined,
27,26,46,70,-99,-99,39,2009,79,2005,0.00,0.00,,undefined,
28,27,50,62,-99,-99,44,2009,81,2005,1.42,0.00,,undefined,
29,28,42,62,-99,-99,42,2010,80,2005,0.01,0.00,,undefined,
30,Average:,44.0,64.4,-99.0,-99.0,,,,,Total: 3.03,Total: 0.00,,,
