,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010,KOKB 03/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,44,63,-99,-99,37,2007,78,2005,0.00,0.00,,undefined,
3,2,46,64,-99,-99,37,2007,82,2009,0.00,0.00,,undefined,
4,3,46,63,-99,-99,32,2002,78,2007,0.00,0.00,,undefined,
5,4,43,60,-99,-99,33,2002,81,2007,0.22,0.00,,undefined,
6,5,38,62,-99,-99,36,2002,79,2007,0.00,0.00,,undefined,
7,6,47,61,-99,-99,37,2009,77,2007,0.12,0.00,,undefined,
8,7,49,60,-99,-99,41,2008,86,2004,0.03,0.00,,undefined,
9,8,50,62,-99,-99,40,2008,83,2004,0.01,0.00,,undefined,
10,9,41,58,-99,-99,36,2002,80,2004,-0.88,0.00,,undefined,
11,10,35,59,-99,-99,35,2010,79,2008,0.02,0.00,,undefined,
12,11,39,62,-99,-99,39,2010,80,2007,0.00,0.00,,undefined,
13,12,40,64,-99,-99,40,2010,85,2007,0.00,0.00,,undefined,
14,13,39,63,-99,-99,37,2006,77,2007,0.00,0.00,,undefined,
15,14,37,63,-99,-99,32,2002,66,2007,0.00,0.00,,undefined,
16,15,37,79,-99,-99,37,2010,79,2010,0.00,0.00,,undefined,
17,16,41,80,-99,-99,38,2008,80,2010,0.00,0.00,,undefined,
18,17,43,80,-99,-99,36,2008,80,2010,0.00,0.00,,undefined,
19,18,42,66,-99,-99,38,2008,72,2009,0.00,0.00,,undefined,
20,19,47,66,-99,-99,36,2002,79,2001,0.00,0.00,,undefined,
21,20,42,72,-99,-99,37,2002,74,2001,0.00,0.00,,undefined,
22,21,43,69,-99,-99,39,2002,70,2002,0.00,0.00,,undefined,
23,22,44,68,-99,-99,38,2006,74,2008,0.00,0.00,,undefined,
24,23,47,67,-99,-99,36,2009,81,2008,0.00,0.00,,undefined,
25,24,42,67,-99,-99,34,2009,79,2008,0.00,0.00,,undefined,
26,25,50,64,-99,-99,38,2009,71,2009,0.00,0.00,,undefined,
27,26,44,66,-99,-99,41,2002,69,2003,0.00,0.00,,undefined,
28,27,42,79,-99,-99,42,2010,79,2010,0.00,0.00,,undefined,
29,28,41,81,-99,-99,40,2009,83,2004,0.00,0.00,,undefined,
30,29,41,73,-99,-99,40,2007,88,2004,0.00,0.00,,undefined,
31,30,47,68,-99,-99,42,2007,85,2003,0.00,0.00,,undefined,
32,31,43,64,-99,-99,39,2000,81,2005,0.00,0.00,,undefined,
33,Average:,42.9,66.9,-99.0,-99.0,,,,,Total: -0.48,Total: 0.00,,,
