,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010,KOKB 05/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,42,67,-99,-99,42,2010,82,2004,0.00,0.00,,undefined,
3,2,50,67,-99,-99,45,2002,92,2004,0.00,0.00,,undefined,
4,3,46,75,-99,-99,43,2002,95,2004,0.00,0.00,,undefined,
5,4,47,69,-99,-99,47,2010,82,2004,0.00,0.00,,undefined,
6,5,57,68,-99,-99,46,2004,75,2004,0.00,0.00,,undefined,
7,6,51,69,-99,-99,47,2007,86,2007,0.00,0.00,,undefined,
8,7,47,71,-99,-99,47,2010,88,2007,0.00,0.00,,undefined,
9,8,47,74,-99,-99,47,2010,89,2007,0.00,0.00,,undefined,
10,9,51,65,-99,-99,47,2003,78,2007,0.00,0.00,,undefined,
11,10,50,67,-99,-99,44,2003,71,2004,0.00,0.00,,undefined,
12,11,44,65,-99,-99,44,2010,72,2005,-0.88,0.00,,undefined,
13,12,40,70,-99,-99,40,2010,85,2002,0.00,0.00,,undefined,
14,13,48,70,-99,-99,43,2000,80,2005,0.00,0.00,,undefined,
15,14,54,68,-99,-99,46,2008,79,2004,0.00,0.00,,undefined,
16,15,58,68,-99,-99,47,2000,80,2004,0.00,0.00,,undefined,
17,16,58,62,-99,-99,47,1999,83,2008,0.00,0.00,,undefined,
18,17,55,64,-99,-99,46,1999,85,2008,0.00,0.00,,undefined,
19,18,55,70,-99,-99,49,2000,87,2008,-0.88,0.00,,undefined,
20,19,53,69,-99,-99,50,2003,81,2008,0.00,0.00,,undefined,
21,20,54,71,-99,-99,52,2003,76,2005,0.00,0.00,,undefined,
22,21,58,70,-99,-99,45,2002,79,2005,0.00,0.00,,undefined,
23,22,55,69,-99,-99,42,2002,73,2005,0.00,0.00,,undefined,
24,23,51,64,-99,-99,47,2002,73,2006,0.00,0.00,,undefined,
25,24,46,67,-99,-99,46,2010,75,2006,0.00,0.00,,undefined,
26,25,43,68,-99,-99,43,2010,73,2005,0.00,0.00,,undefined,
27,26,50,69,-99,-99,50,2010,73,2005,0.00,0.00,,undefined,
28,27,52,74,-99,-99,47,2008,75,2000,0.00,0.00,,undefined,
29,28,48,69,-99,-99,47,2008,77,2000,0.00,0.00,,undefined,
30,29,44,72,-99,-99,44,2010,73,2006,0.00,0.00,,undefined,
31,30,46,73,-99,-99,46,2010,76,2004,0.00,0.00,,undefined,
32,31,56,71,-99,-99,52,1999,77,2006,0.00,0.00,,undefined,
33,Average:,50.2,68.9,-99.0,-99.0,,,,,Total: -1.76,Total: 0.00,,,
