,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011,KOKB 06/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,68,M,M,45,2011,75,2004,0.00,M,0.12,1999,
3,2,46,68,M,M,46,2011,75,2006,0.00,M,0.12,1999,
4,3,45,71,M,M,45,2011,80,2006,0.00,M,0.17,1999,
5,4,49,67,M,M,49,2011,75,2006,0.00,M,T,2008,
6,5,47,70,M,M,47,2011,74,2000,0.06,M,0.06,2011,
7,6,50,69,M,M,49,2009,80,2008,T,M,0.01,2006,
8,7,50,69,M,M,50,2011,73,2010,0.00,M,0.01,2006,
9,8,60,68,M,M,52,2005,73,2005,0.00,M,0.00,2006,
10,9,60,67,M,M,50,2000,76,2001,0.00,M,0.00,2006,
11,10,59,65,M,M,51,2004,74,2006,0.02,M,0.02,2011,
12,11,59,68,M,M,54,2002,74,2006,0.00,M,0.00,2006,
13,12,60,69,M,M,52,2000,73,2007,T,M,0.02,2010,
14,13,60,70,M,M,50,2002,76,2005,T,M,T,2009,
15,14,61,70,M,M,50,2001,79,2006,0.00,M,0.00,2006,
16,15,60,68,M,M,48,2002,76,2001,0.00,M,T,2009,
17,16,60,69,M,M,49,2010,79,2006,0.00,M,0.00,2006,
18,17,61,70,M,M,47,2010,77,2006,0.00,M,0.00,2006,
19,18,61,71,M,M,53,2007,78,2008,0.00,M,0.00,2006,
20,19,55,69,M,M,51,2005,84,2008,0.00,M,0.03,2004,
21,20,57,71,M,M,52,2005,93,2008,0.00,M,0.03,2003,
22,21,57,74,M,M,49,2010,92,2008,0.00,M,0.01,2005,
23,22,61,73,M,M,48,2010,87,2008,0.00,M,0.00,2006,
24,23,M,M,M,M,49,2004,83,2001,0.00,M,0.08,2003,
25,24,61,71,M,M,53,2003,76,2008,0.00,M,0.00,2006,
26,25,58,71,M,M,53,2003,84,2000,0.00,M,0.00,2006,
27,26,57,72,M,M,52,2007,84,2006,0.00,M,0.00,2006,
28,27,58,73,M,M,54,2005,88,2006,0.00,M,0.00,2006,
29,28,62,72,M,M,53,2001,79,2006,0.00,M,T,2010,
30,29,57,73,M,M,55,2005,79,2006,0.00,M,0.01,2005,
31,30,52,76,M,M,52,2011,81,2006,0.00,M,0.00,2006,
32,Average:,56.1,70.1,,,,,,,Total: 0.08,Total: 0.00,,,
