,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011,KOKB 11/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,67,48,72,42,2009,85,2005,0.00,0.07,0.10,2003,
3,2,40,86,47,72,40,2011,86,2011,0.00,0.06,0.01,2008,
4,3,43,70,47,72,39,2004,92,2010,T,0.06,0.03,2003,
5,4,45,63,47,72,44,2004,97,2010,0.40,0.04,0.40,2011,
6,5,39,64,46,72,39,2011,87,2010,0.00,0.04,0.01,2005,
7,6,39,61,46,72,38,2002,90,2006,0.33,0.04,0.33,2011,
8,7,40,63,46,71,40,2011,87,2008,0.00,0.04,0.04,2004,
9,8,41,68,46,71,37,2000,81,2006,0.00,0.04,0.94,2002,
10,9,36,77,45,71,36,2011,77,2011,0.00,0.04,0.07,2002,
11,10,38,77,45,71,38,2011,79,2009,0.00,0.05,0.10,2000,
12,11,46,72,45,71,40,2000,77,2010,0.00,0.03,0.02,2005,
13,12,48,65,45,71,34,2000,84,2002,0.98,0.02,0.98,2011,
14,13,46,73,44,70,34,2000,82,2007,0.00,0.03,0.08,2003,
15,14,45,66,44,70,34,2000,86,2007,0.00,0.02,0.03,2006,
16,15,52,67,44,70,36,2000,94,2008,0.00,0.03,0.07,2003,
17,16,51,67,44,70,35,2000,92,2008,0.00,0.03,0.06,2003,
18,17,44,62,43,70,34,2009,88,2008,0.00,0.02,0.00,2006,
19,18,49,63,43,69,32,2000,89,2005,0.00,0.03,0.14,1999,
20,19,49,64,43,69,34,2000,83,2003,T,0.03,T,2010,
21,20,49,63,43,69,35,2009,91,2002,0.60,0.03,0.60,2011,
22,21,43,63,43,69,42,2008,86,2002,0.01,0.03,0.27,2004,
23,22,39,66,42,69,39,2011,78,2005,0.01,0.04,0.02,2010,
24,23,37,65,42,68,33,2003,74,2003,0.00,0.02,0.02,2010,
25,24,46,65,42,68,31,1999,77,2009,0.00,0.03,0.56,2001,
26,25,41,65,42,68,34,2010,80,2009,0.00,0.03,0.06,2008,
27,26,37,73,42,68,33,2010,78,2009,0.00,0.03,0.97,2008,
28,27,40,84,42,68,28,2010,84,2011,0.00,0.02,0.52,2008,
29,28,43,79,41,67,35,2001,81,2007,0.00,0.03,0.21,2009,
30,29,42,75,41,67,30,2010,75,2011,0.00,0.02,0.25,2001,
31,30,38,64,41,67,30,2006,79,2009,T,0.03,2.69,2007,
32,Average:,43.0,68.6,44.0,69.8,,,,,Total: 2.33,Total: 1.03,,,
