,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012,KOKB 08/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,61,77,62,77,57,2010,85,2000,0.00,0.00,0.00,2006,
3,2,66,77,62,77,59,2010,80,2000,0.00,0.00,0.00,2006,
4,3,65,76,62,77,56,2011,83,2009,0.00,0.00,0.01,2006,
5,4,66,76,62,77,55,2011,82,2008,0.00,0.00,0.03,2006,
6,5,63,77,62,77,55,2006,81,2009,0.00,0.00,0.01,2006,
7,6,65,77,62,77,51,2004,81,2008,0.00,0.01,0.00,2006,
8,7,65,83,62,77,56,2002,83,2012,0.00,0.00,0.00,2006,
9,8,65,83,62,77,54,2010,83,2012,0.00,0.00,0.01,2003,
10,9,64,81,62,77,53,2010,82,2003,0.00,0.00,0.00,2006,
11,10,65,85,62,77,56,2000,86,2003,0.00,0.00,0.00,2006,
12,11,65,86,62,77,60,2003,86,2012,0.00,0.01,0.00,2006,
13,12,67,85,62,77,61,2007,85,2012,0.00,0.00,0.00,2006,
14,13,67,84,62,77,59,2003,84,2012,0.00,0.01,T,2010,
15,14,64,83,62,77,59,2010,83,2012,0.00,0.01,0.00,2006,
16,15,61,82,62,77,58,2006,84,2003,0.00,0.00,0.00,2006,
17,16,64,82,62,77,58,2009,83,2003,0.00,0.01,0.00,2006,
18,17,69,88,62,77,57,2005,88,2012,0.00,0.01,0.00,2006,
19,18,68,88,62,77,59,2005,88,2012,0.00,0.00,0.00,2006,
20,19,66,85,62,77,56,2005,85,2012,0.00,0.01,0.00,2006,
21,20,67,84,62,77,56,2005,84,2012,0.00,0.01,0.05,2003,
22,21,66,81,62,77,57,2010,83,2007,0.00,0.00,T,2009,
23,22,70,80,62,77,56,2002,80,2012,0.00,0.01,T,2009,
24,23,69,77,62,77,55,2001,85,2010,0.00,0.01,0.00,2006,
25,24,68,74,62,77,55,2004,85,2010,0.00,0.00,0.00,2006,
26,25,58,74,62,77,52,2002,85,2005,0.00,0.01,0.00,2006,
27,26,60,78,62,77,50,2009,86,2009,0.00,0.01,0.44,2007,
28,27,55,81,62,77,52,2009,92,2009,0.00,0.00,0.00,2006,
29,28,59,81,61,77,54,2009,91,2009,T,0.01,T,2012,
30,29,61,83,61,77,59,2010,88,2009,0.00,0.01,0.00,2006,
31,30,65,83,61,77,56,2010,91,2009,0.00,0.00,0.00,2006,
32,31,62,83,61,77,51,2010,86,2007,0.00,0.01,0.00,2006,
33,Average:,64.4,81.1,61.9,77.0,,,,,Total: 0.00,Total: 0.15,,,
