,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016,KOKB 10/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,80,56,75,46,2009,93,2008,0.00,0.00,0.01,2010,
3,2,60,74,56,75,45,2002,89,2014,0.00,0.00,T,2010,
4,3,53,73,56,75,45,2002,94,2014,0.00,0.01,0.00,2006,
5,4,52,76,56,75,42,2002,91,2014,0.00,0.01,0.09,2015,
6,5,55,73,55,75,42,2013,94,2005,0.00,0.01,0.61,2015,
7,6,51,76,55,75,45,2013,90,2013,0.00,0.01,0.07,2010,
8,7,49,86,55,75,42,2007,93,2008,0.00,0.02,0.02,2002,
9,8,49,86,54,74,44,2011,95,2008,0.00,0.02,0.00,2006,
10,9,50,87,54,74,42,2007,93,2015,0.00,0.02,0.17,2013,
11,10,51,78,54,74,45,2011,99,2015,0.00,0.01,0.01,2003,
12,11,54,72,54,74,45,2013,91,2015,0.00,0.02,0.85,2012,
13,12,53,72,53,74,41,2008,93,2015,0.00,0.02,0.02,2009,
14,13,50,72,53,74,37,2008,92,2011,0.00,0.02,0.39,2006,
15,14,55,72,53,74,41,2008,88,2005,0.00,0.03,0.33,2006,
16,15,58,72,53,74,44,2008,88,2008,0.00,0.03,0.01,2001,
17,16,57,76,52,74,43,2008,87,2013,0.00,0.02,0.37,2005,
18,17,54,73,52,74,44,2013,93,2012,0.04,0.03,0.26,2005,
19,18,51,73,52,74,43,2013,79,2012,0.00,0.03,0.85,2004,
20,19,49,78,51,73,42,2013,81,2006,0.00,0.03,2.77,2010,
21,20,52,91,51,73,41,2013,91,2016,0.00,0.02,1.62,2004,
22,21,51,88,51,73,44,2006,90,1999,0.00,0.03,0.20,2010,
23,22,46,84,50,73,43,2007,95,2008,0.00,0.03,0.01,2006,
24,23,51,80,50,73,44,1999,91,2008,T,0.03,0.01,2003,
25,24,57,72,50,73,43,2008,89,2007,0.29,0.03,0.29,2016,
26,25,53,72,50,73,42,2008,86,2007,0.00,0.03,0.28,2010,
27,26,52,74,49,73,41,2009,93,2003,0.00,0.03,0.13,2004,
28,27,52,75,49,73,42,2006,88,2003,0.00,0.03,2.08,2004,
29,28,58,78,49,73,37,2011,84,2010,0.00,0.03,0.22,2004,
30,29,55,78,48,73,34,2009,83,2008,0.00,0.03,0.83,2000,
31,30,55,71,48,72,38,2011,89,1999,T,0.04,0.20,2010,
32,31,51,70,48,72,38,2009,86,2008,0.00,0.03,0.01,2005,
33,Average:,53.0,76.8,52.2,73.7,,,,,Total: 0.33,Total: 0.70,,,
