,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018,KOKB 07/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,74,60,75,56,2011,83,2013,0.00,0.01,T,2015,
3,2,62,77,60,75,54,2004,83,2006,0.00,0.01,0.00,2006,
4,3,65,75,60,75,58,2004,83,2001,0.00,0.01,0.00,2006,
5,4,59,76,60,75,56,2008,82,2006,0.00,0.01,0.00,2006,
6,5,56,84,61,75,56,2018,84,2018,0.00,0.00,0.01,2010,
7,6,59,89,61,75,54,2012,89,2018,0.00,0.01,0.04,2010,
8,7,67,90,61,75,54,2012,90,2018,0.00,0.01,0.02,2010,
9,8,67,91,61,76,54,2009,91,2018,0.00,0.00,0.00,2006,
10,9,67,87,61,76,54,2009,87,2018,0.00,0.00,T,1999,
11,10,67,82,61,76,53,2009,82,2018,0.03,0.00,T,2013,
12,11,65,80,61,76,54,2001,80,2018,0.00,0.01,T,2013,
13,12,65,81,61,76,51,2001,81,2018,0.00,0.00,0.01,2012,
14,13,67,79,61,76,55,2007,83,2006,0.00,0.00,0.00,2006,
15,14,68,80,61,76,59,2010,82,2010,0.00,0.00,0.02,2011,
16,15,69,80,61,76,59,2002,89,2006,0.00,0.01,0.01,2010,
17,16,68,80,61,76,54,2001,90,2003,0.00,0.00,0.00,2006,
18,17,68,78,62,76,53,2013,83,2006,0.00,0.00,0.00,2006,
19,18,67,80,62,76,55,2012,81,2009,0.00,0.01,0.33,2015,
20,19,66,80,62,76,54,2001,87,2015,0.00,0.00,0.43,2015,
21,20,67,80,62,76,54,2001,87,2005,0.00,0.01,T,2013,
22,21,68,81,62,76,54,2008,86,2016,0.00,0.00,T,2013,
23,22,63,82,62,76,58,2014,94,2006,0.00,0.00,T,2006,
24,23,62,83,62,76,55,2014,85,2016,0.00,0.00,T,2007,
25,24,67,85,62,76,57,2012,91,2006,0.00,0.00,0.00,2006,
26,25,71,83,62,76,60,2012,83,2018,0.00,0.01,0.00,2006,
27,26,69,80,62,76,61,2012,83,2006,0.00,0.00,0.01,2013,
28,27,68,83,62,76,57,2012,86,2006,0.00,0.00,T,2014,
29,28,66,81,62,77,56,2002,86,2014,0.00,0.00,0.00,2006,
30,29,65,84,62,77,54,2002,84,2018,0.00,0.01,0.00,2006,
31,30,67,84,62,77,57,2013,84,2018,0.00,0.00,0.06,2003,
32,31,66,84,62,77,56,2013,85,2000,0.00,0.00,0.04,2011,
33,Average:,65.5,81.7,61.4,75.9,,,,,Total: 0.03,Total: 0.12,,,
