,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021,KOKB 12/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,37,68,40,68,31,2010,77,2013,0.00,0.04,0.94,2007,
3,2,50,63,40,68,32,2020,78,2006,0.00,0.05,0.55,2014,
4,3,51,63,40,67,29,2020,80,2006,0.00,0.05,0.53,2014,
5,4,45,65,40,67,29,2011,76,2005,0.00,0.05,1.05,2019,
6,5,41,64,40,67,29,2006,76,2017,0.00,0.05,0.53,2018,
7,6,38,64,40,67,26,2011,77,2017,0.00,0.06,1.97,2018,
8,7,46,65,40,67,30,2006,86,2001,0.01,0.06,0.97,2009,
9,8,43,69,40,67,29,2011,85,2020,0.00,0.06,0.36,2007,
10,9,49,62,40,66,30,2011,85,2017,0.16,0.06,0.67,2001,
11,10,38,62,40,66,31,2011,87,2017,0.00,0.07,0.10,2006,
12,11,38,69,40,66,31,1999,81,2017,0.00,0.06,0.25,2015,
13,12,32,64,40,66,30,1999,83,2010,0.00,0.06,1.14,2014,
14,13,39,61,40,66,29,1999,81,2010,0.01,0.07,0.83,2012,
15,14,51,60,40,66,29,2013,74,2013,1.29,0.06,1.29,2021,
16,15,36,58,40,66,33,2015,79,2017,0.00,0.06,1.38,2008,
17,16,35,60,40,66,29,2015,84,2013,0.03,0.06,0.72,2016,
18,17,41,68,40,66,31,2019,77,2013,0.01,0.07,1.03,2008,
19,18,35,69,40,66,30,2019,83,2000,0.00,0.06,0.30,2012,
20,19,31,64,40,66,31,M,82,2009,0.00,0.07,1.03,2010,
21,20,31,65,40,66,30,2012,76,2020,0.00,0.06,0.83,2002,
22,21,44,66,40,66,29,2012,80,2005,0.00,0.07,2.97,2010,
23,22,39,65,40,66,28,2017,80,2005,T,0.06,1.30,2010,
24,23,53,60,40,66,25,2011,77,2014,0.55,0.07,0.90,2019,
25,24,48,62,40,66,30,2011,80,1999,0.79,0.07,0.85,2016,
26,25,47,59,40,66,28,2011,83,2013,0.23,0.07,0.51,2003,
27,26,41,60,40,66,31,2007,82,2013,0.29,0.08,1.28,2019,
28,27,38,58,40,66,26,2015,77,2013,0.10,0.07,0.17,2006,
29,28,45,58,40,66,28,2011,74,2017,0.09,0.08,1.12,2004,
30,29,41,58,40,66,29,2000,83,2016,0.13,0.08,0.99,2004,
31,30,50,63,40,66,30,1999,75,2013,0.01,0.08,0.71,2014,
32,31,45,62,40,66,30,2003,74,2019,T,0.07,0.72,2004,
33,Average:,41.9,63.0,40.0,66.3,,,,,Total: 3.70,Total: 1.98,,,
