,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011,KRNM 05/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,33,79,45,74,33,2011,91,2004,0.00,0.02,0.26,1978,
3,2,35,82,46,74,35,2011,98,2004,0.00,0.02,0.19,1980,
4,3,38,91,46,74,38,2011,100,2004,0.00,0.02,0.88,2003,
5,4,41,90,46,74,37,2001,94,2004,0.00,0.02,0.11,1982,
6,5,41,87,46,75,37,1999,94,1990,0.00,0.02,0.41,1998,
7,6,40,79,46,75,33,1975,96,1990,0.00,0.02,0.58,1998,
8,7,51,73,47,75,32,1975,91,1990,0.00,0.02,0.09,1995,
9,8,49,64,47,75,36,1975,93,1984,0.04,0.02,0.16,1977,
10,9,48,60,47,75,36,1983,97,2001,T,0.01,1.77,1977,
11,10,42,68,47,75,33,2003,92,1984,0.00,0.01,0.25,1980,
12,11,40,72,47,75,35,2005,95,1996,0.00,0.01,0.22,1980,
13,12,47,78,47,75,35,2010,96,1978,0.00,0.01,0.08,1998,
14,13,44,75,48,75,36,1983,98,1976,0.00,0.01,1.16,1998,
15,14,49,69,48,76,42,2008,97,1979,T,0.01,0.04,1998,
16,15,40,63,48,76,40,2011,94,1997,T,0.01,0.09,1993,
17,16,35,63,48,76,35,2011,97,2008,0.00,0.01,0.04,2000,
18,17,48,61,48,76,39,2000,97,2008,0.10,0.01,0.10,2011,
19,18,49,59,48,76,35,1977,97,2008,0.26,0.01,0.26,2011,
20,19,45,67,49,77,37,1977,95,2008,0.00,0.01,0.11,1974,
21,20,47,72,49,77,30,1974,94,1988,0.00,0.01,0.13,1975,
22,21,47,79,49,77,29,1974,96,2000,0.00,0.01,0.02,1975,
23,22,52,70,49,77,40,1987,93,2001,0.00,0.01,0.37,2006,
24,23,49,65,49,78,38,1975,97,2001,T,0.01,0.36,2008,
25,24,45,73,49,78,37,2010,90,2001,0.00,0.01,0.42,1996,
26,25,41,77,49,78,38,1980,101,1974,0.00,0.01,0.02,1994,
27,26,42,75,49,78,36,1980,98,1974,0.00,0.01,0.06,1998,
28,27,42,81,49,79,41,1977,93,2000,0.00,0.01,0.39,1981,
29,28,44,72,49,79,42,1998,99,1978,0.00,0.01,0.47,1990,
30,29,43,61,50,79,41,2010,102,1984,0.11,0.01,0.18,1988,
31,30,35,78,50,80,35,2011,107,1984,0.00,0.01,0.01,2009,
32,31,40,77,50,80,40,2011,93,1984,0.00,0.01,0.00,2001,
33,Average:,43.3,72.9,47.9,76.4,,,,,Total: 0.51,Total: 0.39,,,
