,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014,KRNM 04/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,59,40,68,29,1977,86,2011,0.34,0.04,1.09,1998,
3,2,36,58,40,68,30,2012,91,1985,0.12,0.04,0.59,1974,
4,3,31,66,40,68,28,1997,82,1985,0.00,0.04,0.42,1999,
5,4,33,59,40,68,32,2003,93,1989,0.00,0.04,0.76,2006,
6,5,37,62,40,68,32,2009,95,1989,0.00,0.04,0.45,2006,
7,6,36,78,40,68,30,2003,98,1989,0.00,0.03,0.51,1975,
8,7,37,85,40,69,33,2006,97,1989,0.00,0.04,0.68,2001,
9,8,43,91,41,69,34,2012,97,1989,0.00,0.05,1.26,1975,
10,9,42,90,41,69,31,2001,90,2014,0.00,0.05,0.72,1975,
11,10,38,87,41,69,28,1999,89,1988,0.00,0.04,0.58,2009,
12,11,45,83,41,69,30,1974,87,1988,0.00,0.05,0.38,1998,
13,12,48,66,41,69,33,1974,87,2008,0.00,0.05,1.07,1998,
14,13,50,67,41,70,31,2007,94,1985,0.00,0.04,1.19,1976,
15,14,40,86,41,70,31,1983,91,1985,0.00,0.06,1.18,2003,
16,15,42,80,42,70,31,2012,88,1987,0.00,0.05,0.70,1988,
17,16,42,77,42,70,33,2009,88,2011,0.00,0.06,0.79,1995,
18,17,44,73,42,70,30,1976,88,1999,0.00,0.05,0.54,2004,
19,18,52,74,42,71,31,2013,91,1999,0.00,0.05,1.37,1995,
20,19,47,73,42,71,31,2007,91,2009,0.00,0.05,0.38,1995,
21,20,42,78,42,71,34,2005,96,2009,0.00,0.06,1.35,1988,
22,21,44,85,43,71,33,1974,94,2009,0.00,0.05,0.90,2001,
23,22,46,73,43,71,34,2001,90,1987,0.00,0.06,0.56,2010,
24,23,41,72,43,71,31,2010,89,1996,0.00,0.05,0.42,1980,
25,24,41,77,43,72,35,1980,89,2001,0.00,0.05,0.42,1994,
26,25,42,69,43,72,34,1974,93,2004,0.02,0.05,0.09,1994,
27,26,45,60,44,72,32,1974,96,2004,0.51,0.05,0.78,1994,
28,27,43,67,44,72,34,1974,97,2004,0.00,0.05,0.48,1994,
29,28,40,78,44,72,35,1974,95,2008,0.00,0.04,1.16,2005,
30,29,47,87,44,73,36,1974,92,1996,0.00,0.04,0.68,1999,
31,30,52,86,45,73,36,2009,93,1996,0.00,0.03,0.14,1999,
32,Average:,42.4,74.9,41.8,70.1,,,,,Total: 0.99,Total: 1.40,,,
