,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014,KRNM 06/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,88,50,79,37,2011,91,1987,0.00,0.01,0.01,2006,
3,2,42,84,50,79,36,2011,95,1996,0.00,0.01,0.00,2001,
4,3,42,89,50,79,39,2011,99,2006,0.00,0.01,0.04,1985,
5,4,44,88,50,79,44,2014,100,1981,0.00,0.01,0.04,1998,
6,5,41,86,50,80,39,2011,98,1981,0.00,0.01,0.32,1993,
7,6,47,80,50,80,42,1980,99,1985,0.00,0.00,0.22,1993,
8,7,52,82,50,80,39,1988,99,1985,0.00,0.01,0.01,2003,
9,8,51,86,50,80,40,1988,98,1985,0.00,0.01,0.01,1995,
10,9,52,89,50,81,40,1995,98,1985,0.00,0.00,0.25,1990,
11,10,56,80,51,81,43,1975,98,1979,0.00,0.01,0.55,1990,
12,11,53,86,51,81,44,1978,103,1979,0.00,0.01,0.02,1998,
13,12,53,84,51,82,42,1976,104,1979,0.00,0.00,0.04,1998,
14,13,52,84,51,82,43,1986,104,1979,0.00,0.00,T,2009,
15,14,49,84,51,82,41,1980,99,1979,0.00,0.00,0.03,2009,
16,15,47,83,51,82,41,1977,101,1974,0.00,0.01,0.00,2001,
17,16,50,83,51,83,44,2001,104,1981,0.00,0.00,0.38,1995,
18,17,47,81,52,83,41,2010,108,1981,0.00,0.00,0.14,1995,
19,18,47,79,52,83,43,1987,101,2008,0.00,0.01,0.17,1982,
20,19,47,85,52,84,41,1974,102,2008,0.00,0.00,T,2003,
21,20,50,89,52,84,43,1987,106,2008,0.00,0.00,0.02,2003,
22,21,52,90,52,84,44,1995,107,2008,0.00,0.00,0.01,1982,
23,22,53,85,52,84,41,2010,103,2008,0.00,0.00,T,2003,
24,23,50,83,52,85,41,1991,100,1978,0.00,0.01,0.01,2010,
25,24,53,83,53,85,44,2012,102,1976,0.00,0.00,T,2006,
26,25,54,84,53,85,40,1975,103,2006,0.00,0.00,0.01,2006,
27,26,55,85,53,85,40,2012,107,1994,0.00,0.00,0.01,2006,
28,27,58,80,53,86,44,2007,106,1979,0.00,0.00,0.03,2006,
29,28,53,87,53,86,46,1975,108,1974,0.00,0.00,0.02,2006,
30,29,56,89,53,86,45,1997,102,1974,0.00,0.00,0.01,2006,
31,30,56,85,54,86,46,2012,103,1996,0.00,0.00,0.02,2006,
32,Average:,50.2,84.7,51.4,82.5,,,,,Total: 0.00,Total: 0.12,,,
