,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021,KRNM 03/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,29,72,39,65,28,2007,84,2009,0.00,0.17,3.21,1991,
3,2,31,74,39,65,24,1977,83,2013,0.00,0.18,1.70,1983,
4,3,27,58,39,66,25,1977,84,1975,0.77,0.19,2.00,1983,
5,4,37,63,39,66,26,1977,85,2012,0.00,0.18,0.68,1983,
6,5,30,75,39,66,26,1974,82,2020,0.00,0.18,2.65,1995,
7,6,34,67,39,66,28,1974,82,2007,0.00,0.17,2.20,1995,
8,7,38,63,39,66,29,1982,83,2004,0.00,0.17,0.61,2016,
9,8,44,62,39,66,25,2012,88,2004,T,0.16,1.18,1974,
10,9,38,59,39,66,32,2002,86,2004,T,0.14,0.23,2001,
11,10,42,57,39,66,30,2013,89,1997,0.47,0.12,0.68,2006,
12,11,35,53,39,66,30,2010,88,2007,0.46,0.12,2.35,1995,
13,12,35,55,39,66,28,1977,90,2007,0.03,0.10,1.46,2020,
14,13,36,59,39,66,29,1977,86,2013,0.01,0.09,0.80,1996,
15,14,40,59,39,66,28,2002,88,2013,0.00,0.07,0.64,1982,
16,15,40,51,40,66,24,1977,86,2015,0.22,0.08,1.24,2003,
17,16,33,56,40,66,29,1999,88,2004,0.04,0.07,0.97,2003,
18,17,28,66,40,66,28,2021,88,2004,0.00,0.07,1.03,2012,
19,18,32,67,40,67,30,2008,89,1997,0.00,0.08,3.25,1982,
20,19,34,73,40,67,27,2002,92,1997,0.00,0.07,1.19,1991,
21,20,40,65,40,67,29,1977,92,1997,0.00,0.06,1.27,1991,
22,21,31,62,40,67,27,1999,91,1997,0.00,0.06,1.07,1991,
23,22,29,67,40,67,28,2006,83,2008,0.00,0.05,0.76,1987,
24,23,42,60,40,67,31,2011,84,2008,T,0.06,0.74,1995,
25,24,31,67,40,67,29,2009,88,1988,0.00,0.05,0.64,1983,
26,25,33,57,40,67,30,1995,90,1988,0.11,0.05,0.88,1977,
27,26,36,61,40,67,30,1977,94,1988,0.02,0.05,0.85,1998,
28,27,31,74,40,67,30,2018,91,2015,0.00,0.06,1.52,1991,
29,28,33,85,40,67,30,2007,87,2015,0.00,0.06,1.56,1998,
30,29,37,80,40,67,28,1975,91,2004,0.00,0.06,0.82,1998,
31,30,34,74,40,68,29,1977,85,2004,0.00,0.06,0.25,1978,
32,31,50,82,40,68,28,1977,87,2011,0.00,0.05,0.67,1978,
33,Average:,35.2,65.3,39.5,66.5,,,,,Total: 2.13,Total: 3.08,,,
