,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021,KRNM 10/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,44,91,52,83,41,2013,105,1980,0.00,0.01,0.69,1992,
3,2,45,94,52,83,38,2019,102,2020,0.00,0.01,0.01,1983,
4,3,49,96,52,83,40,2002,99,2020,0.00,0.01,0.01,2005,
5,4,53,89,51,82,37,2005,100,1987,0.06,0.01,0.29,2015,
6,5,56,76,51,82,39,1974,98,2020,0.42,0.02,0.42,2021,
7,6,59,70,51,82,35,1974,98,2017,0.00,0.02,0.32,1983,
8,7,58,67,51,82,38,2011,101,1996,T,0.02,0.07,1975,
9,8,53,65,50,81,35,1975,99,2008,0.21,0.01,0.21,2021,
10,9,48,71,50,81,35,1975,99,1996,0.00,0.02,1.07,2013,
11,10,41,80,50,81,32,1974,96,1999,0.00,0.02,0.24,2000,
12,11,40,68,50,81,36,1974,97,2015,0.00,0.02,0.76,1987,
13,12,38,66,50,81,34,2008,101,2011,0.00,0.02,0.79,2018,
14,13,33,74,49,80,33,2021,103,1978,0.00,0.02,0.68,1987,
15,14,35,79,49,80,35,2021,96,1978,0.00,0.03,0.04,2006,
16,15,45,84,49,80,38,2019,102,1974,0.00,0.02,0.08,1980,
17,16,39,88,49,80,38,1981,99,2020,0.00,0.03,0.46,2005,
18,17,39,78,48,80,38,1994,98,2012,0.00,0.02,0.38,2005,
19,18,39,59,48,80,35,1998,99,2003,0.02,0.02,0.70,2004,
20,19,32,70,48,79,32,2021,95,2003,0.00,0.03,2.11,2010,
21,20,34,75,48,79,34,2021,98,2003,0.00,0.02,1.50,2004,
22,21,36,81,47,79,36,2021,100,2003,0.00,0.03,0.18,2004,
23,22,38,74,47,79,36,2013,98,2003,0.00,0.02,0.10,1997,
24,23,50,69,47,79,33,1996,101,2017,T,0.03,0.38,1992,
25,24,45,75,47,79,36,1996,100,2017,0.00,0.03,0.16,2016,
26,25,49,63,46,78,33,1975,99,2017,0.27,0.03,0.27,2021,
27,26,43,68,46,78,34,2020,93,2017,0.00,0.02,0.27,1982,
28,27,39,84,46,78,30,2020,94,2008,0.00,0.03,1.84,2004,
29,28,49,91,46,78,32,2011,97,2008,0.00,0.03,0.77,1974,
30,29,45,87,45,78,31,2009,93,2008,0.00,0.03,0.76,1974,
31,30,42,78,45,78,31,1979,88,2011,0.00,0.03,0.90,1996,
32,31,49,73,45,77,32,1979,91,2020,0.00,0.03,0.50,1987,
33,Average:,44.0,76.9,48.5,80.0,,,,,Total: 0.98,Total: 0.69,,,
