,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021,KRNM 09/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,61,78,57,91,45,2005,109,2017,0.00,0.00,0.01,2006,
3,2,56,84,57,91,45,2005,109,1982,0.00,0.01,0.04,2009,
4,3,56,88,57,91,47,1999,108,2007,0.00,0.00,0.01,2005,
5,4,53,99,57,90,45,2004,102,2010,0.00,0.00,0.01,2006,
6,5,57,97,57,90,48,1979,112,2020,0.00,0.01,0.75,1991,
7,6,58,91,57,90,45,2005,112,2020,0.00,0.00,0.85,1978,
8,7,58,90,56,90,44,2005,101,2011,0.00,0.01,0.17,1975,
9,8,56,93,56,90,44,1983,103,2018,0.00,0.00,0.03,1975,
10,9,63,95,56,89,42,2000,108,1979,0.00,0.00,0.02,2017,
11,10,63,94,56,89,42,2006,103,1979,0.00,0.01,1.68,1976,
12,11,61,97,56,89,44,2010,106,1983,0.00,0.00,1.05,1976,
13,12,59,96,56,89,43,1985,102,2000,0.00,0.01,0.04,1978,
14,13,54,98,55,88,46,2001,103,1979,0.00,0.00,0.03,1987,
15,14,49,91,55,88,44,1994,102,2014,0.00,0.00,0.01,1978,
16,15,44,87,55,88,41,2016,103,2014,0.00,0.01,1.29,2015,
17,16,52,83,55,88,42,2016,102,2000,0.00,0.00,0.22,1978,
18,17,55,82,55,87,40,2006,103,1981,0.00,0.01,0.27,1989,
19,18,50,84,55,87,39,2010,105,1981,0.00,0.00,0.92,1985,
20,19,51,83,54,87,42,2018,102,1979,0.00,0.01,0.30,1989,
21,20,47,86,54,86,40,1999,102,2015,0.00,0.00,0.27,2016,
22,21,53,101,54,86,40,2007,101,M,0.00,0.01,0.23,2016,
23,22,57,99,54,86,43,1988,104,2009,0.00,0.00,0.09,1999,
24,23,59,91,54,85,43,2010,104,2002,0.00,0.01,0.09,2000,
25,24,54,83,53,85,41,2007,103,1982,0.03,0.00,0.29,1986,
26,25,56,82,53,85,39,2005,104,1978,0.00,0.01,1.08,1997,
27,26,59,67,53,84,46,2017,105,2010,0.00,0.01,0.28,1982,
28,27,58,69,53,84,41,2013,108,2010,0.00,0.00,0.04,1982,
29,28,57,72,53,84,39,2013,101,1999,0.00,0.01,0.06,2019,
30,29,50,76,52,84,44,2013,102,1999,0.00,0.01,0.01,2006,
31,30,41,89,52,83,40,1982,107,1980,0.00,0.01,0.27,1983,
32,Average:,54.9,87.5,54.9,87.5,,,,,Total: 0.03,Total: 0.15,,,
