,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009,KSDM 07/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,62,76,-99,-99,57,1957,90,2006,0.00,0.00,,undefined,
3,2,60,75,-99,-99,58,1958,88,2006,0.00,0.00,,undefined,
4,3,59,75,-99,-99,59,2009,88,2006,0.00,0.00,,undefined,
5,4,59,76,-99,-99,57,1960,97,1957,0.00,0.00,,undefined,
6,5,60,76,-99,-99,50,1945,85,1957,0.00,0.00,,undefined,
7,6,58,75,-99,-99,56,1960,82,1957,0.00,0.00,,undefined,
8,7,57,78,-99,-99,50,1945,84,1957,0.00,0.00,,undefined,
9,8,57,76,-99,-99,54,1955,85,1959,0.00,0.00,,undefined,
10,9,59,77,-99,-99,54,1960,85,1958,0.00,0.00,,undefined,
11,10,56,82,-99,-99,55,1960,91,1959,0.00,0.00,,undefined,
12,11,62,84,-99,-99,59,1958,90,2003,0.00,0.00,,undefined,
13,12,61,89,-99,-99,58,1960,89,2009,0.00,0.00,,undefined,
14,13,61,86,-99,-99,59,2007,89,2006,0.00,0.00,,undefined,
15,14,62,80,-99,-99,58,1957,91,2006,0.00,0.00,,undefined,
16,15,62,79,-99,-99,58,1960,91,2006,0.00,0.00,,undefined,
17,16,62,82,-99,-99,60,1955,91,2006,0.00,0.00,,undefined,
18,17,62,86,-99,-99,58,1958,89,2006,0.00,0.00,,undefined,
19,18,65,86,-99,-99,58,1958,86,2009,0.00,0.00,,undefined,
20,19,64,84,-99,-99,59,1958,84,2009,0.00,0.00,,undefined,
21,20,66,87,-99,-99,58,1958,87,2009,0.00,0.00,,undefined,
22,21,65,87,-99,-99,58,2008,90,1960,0.00,0.00,,undefined,
23,22,65,83,-99,-99,59,1957,110,2006,0.00,0.00,,undefined,
24,23,64,80,-99,-99,59,1957,91,2006,0.00,0.00,,undefined,
25,24,64,79,-99,-99,59,1958,95,2006,0.00,0.00,,undefined,
26,25,64,82,-99,-99,60,1958,86,2006,0.00,0.00,,undefined,
27,26,65,79,-99,-99,60,1955,89,1998,0.00,0.00,,undefined,
28,27,66,81,-99,-99,60,1955,89,2006,0.00,0.00,,undefined,
29,28,63,79,-99,-99,60,1955,86,1998,0.00,0.00,,undefined,
30,29,63,78,-99,-99,61,1955,81,1960,0.00,0.00,,undefined,
31,30,64,76,-99,-99,61,2007,88,1957,0.00,0.00,,undefined,
32,31,62,79,-99,-99,58,1956,89,1957,0.00,0.00,,undefined,
33,Average:,61.9,80.4,-99.0,-99.0,,,,,Total: 0.00,Total: 0.00,,,
