,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010,KSDM 04/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,44,59,-99,-99,42,1956,86,1959,0.37,0.00,,undefined,
3,2,41,65,-99,-99,40,1956,85,1960,0.00,0.00,,undefined,
4,3,43,66,-99,-99,39,1955,87,1960,0.00,0.00,,undefined,
5,4,50,64,-99,-99,37,1945,81,1960,0.00,0.00,,undefined,
6,5,48,65,-99,-99,39,1958,86,2005,0.06,0.00,,undefined,
7,6,43,68,-99,-99,41,1958,87,2005,0.00,0.00,,undefined,
8,7,46,80,-99,-99,45,1955,81,1945,0.00,0.00,,undefined,
9,8,47,80,-99,-99,44,1958,85,2003,0.00,0.00,,undefined,
10,9,45,70,-99,-99,44,1958,78,2003,0.00,0.00,,undefined,
11,10,49,65,-99,-99,41,2008,80,1946,0.00,0.00,,undefined,
12,11,52,66,-99,-99,39,1945,88,1946,0.00,0.00,,undefined,
13,12,52,63,-99,-99,43,2009,94,2008,0.68,0.00,,undefined,
14,13,48,64,-99,-99,42,2007,96,2008,0.00,0.00,,undefined,
15,14,45,66,-99,-99,40,1945,85,1958,0.00,0.00,,undefined,
16,15,55,68,-99,-99,39,1945,89,1961,0.00,0.00,,undefined,
17,16,52,68,-99,-99,43,2009,91,1999,0.00,0.00,,undefined,
18,17,48,72,-99,-99,43,2009,88,2008,0.00,0.00,,undefined,
19,18,55,74,-99,-99,45,2009,87,1999,0.01,0.00,,undefined,
20,19,54,71,-99,-99,41,1955,97,2009,0.00,0.00,,undefined,
21,20,49,69,-99,-99,40,1955,97,2009,0.08,0.00,,undefined,
22,21,48,58,-99,-99,44,2007,85,2009,0.29,0.00,,undefined,
23,22,43,59,-99,-99,42,2008,72,1959,0.28,0.00,,undefined,
24,23,40,65,-99,-99,40,2010,79,2001,0.00,0.00,,undefined,
25,24,49,66,-99,-99,44,1960,88,2001,0.00,0.00,,undefined,
26,25,46,67,-99,-99,40,1961,86,2008,0.00,0.00,,undefined,
27,26,53,67,-99,-99,45,2009,87,2008,0.00,0.00,,undefined,
28,27,52,66,-99,-99,40,1955,97,2008,0.00,0.00,,undefined,
29,28,54,67,-99,-99,42,1955,94,2008,0.06,0.00,,undefined,
30,29,49,62,-99,-99,45,1960,75,2008,-0.88,0.00,,undefined,
31,30,49,67,-99,-99,47,2009,79,2000,0.00,0.00,,undefined,
32,Average:,48.3,66.9,-99.0,-99.0,,,,,Total: 0.95,Total: 0.00,,,
