,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010,KSDM 12/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,37,70,-99,-99,37,2010,83,1959,0.00,0.00,,undefined,
3,2,41,72,-99,-99,41,2010,85,1959,0.00,0.00,,undefined,
4,3,40,71,-99,-99,40,2010,87,1958,0.00,0.00,,undefined,
5,4,44,63,-99,-99,41,1960,78,2007,0.00,0.00,,undefined,
6,5,44,72,-99,-99,38,1960,80,2000,-0.88,0.00,,undefined,
7,6,46,68,-99,-99,33,1960,79,1959,0.00,0.00,,undefined,
8,7,41,75,-99,-99,31,1960,80,2001,0.00,0.00,,undefined,
9,8,42,74,-99,-99,33,1960,78,2006,0.00,0.00,,undefined,
10,9,42,69,-99,-99,29,1960,83,1957,0.00,0.00,,undefined,
11,10,45,66,-99,-99,34,1960,81,1958,0.00,0.00,,undefined,
12,11,45,76,-99,-99,37,1954,82,1958,0.00,0.00,,undefined,
13,12,54,87,-99,-99,38,2007,87,2010,0.00,0.00,,undefined,
14,13,50,84,-99,-99,38,2007,84,2010,0.00,0.00,,undefined,
15,14,44,60,-99,-99,37,2007,81,1958,0.00,0.00,,undefined,
16,15,50,61,-99,-99,38,1959,80,1958,-0.88,0.00,,undefined,
17,16,44,59,-99,-99,39,1960,80,2000,0.09,0.00,,undefined,
18,17,43,66,-99,-99,38,1960,79,1999,-0.88,0.00,,undefined,
19,18,56,64,-99,-99,36,2006,79,2009,0.01,0.00,,undefined,
20,19,56,62,-99,-99,34,2006,83,1954,0.03,0.00,,undefined,
21,20,58,60,-99,-99,36,2006,85,1954,0.49,0.00,,undefined,
22,21,53,59,-99,-99,36,2006,80,1954,1.14,0.00,,undefined,
23,22,50,59,-99,-99,37,2007,76,1960,1.61,0.00,,undefined,
24,23,46,61,-99,-99,35,2009,78,1960,0.00,0.00,,undefined,
25,24,41,67,-99,-99,38,2009,75,2007,0.00,0.00,,undefined,
26,25,44,60,-99,-99,37,2002,77,2006,0.11,0.00,,undefined,
27,26,46,60,-99,-99,37,2009,76,2006,0.03,0.00,,undefined,
28,27,41,65,-99,-99,34,2007,80,1956,0.00,0.00,,undefined,
29,28,41,65,-99,-99,33,1954,77,1998,0.00,0.00,,undefined,
30,29,50,55,-99,-99,29,1954,77,2000,0.56,0.00,,undefined,
31,30,38,54,-99,-99,34,1954,73,2000,0.00,0.00,,undefined,
32,31,36,55,-99,-99,34,2006,75,1958,0.00,0.00,,undefined,
33,Average:,45.4,65.8,-99.0,-99.0,,,,,Total: 1.43,Total: 0.00,,,
