,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011,KSDM 05/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,44,83,M,M,44,2011,83,2011,0.00,M,0.62,1955,
3,2,47,87,M,M,47,2011,87,2011,0.00,M,0.38,1955,
4,3,49,94,M,M,44,1955,94,2011,0.00,M,0.07,1960,
5,4,54,82,M,M,49,2010,82,2011,0.00,M,0.11,1960,
6,5,52,73,M,M,45,1960,79,2001,0.00,M,T,2007,
7,6,55,70,M,M,48,2007,82,2007,0.00,M,0.02,2008,
8,7,56,69,M,M,50,2010,88,2007,0.00,M,0.32,1955,
9,8,54,64,M,M,49,1956,91,2007,0.02,M,0.02,1955,
10,9,51,63,M,M,51,2011,83,2007,T,M,0.32,1956,
11,10,48,68,M,M,47,1959,80,1960,0.00,M,0.24,1957,
12,11,49,68,M,M,48,2010,84,1960,0.00,M,0.83,1957,
13,12,54,70,M,M,44,2010,83,2000,0.00,M,0.01,1957,
14,13,54,70,M,M,48,1956,78,2000,0.00,M,0.00,1960,
15,14,53,66,M,M,49,2008,87,1956,0.00,M,0.03,1957,
16,15,52,66,M,M,46,1955,96,1956,T,M,0.06,1960,
17,16,48,65,M,M,45,1955,95,2008,0.00,M,0.00,1960,
18,17,50,66,M,M,49,1955,92,1956,0.01,M,0.01,2011,
19,18,53,62,M,M,50,1955,89,2008,0.13,M,0.13,2011,
20,19,48,67,M,M,48,2011,90,2008,0.00,M,0.30,1957,
21,20,55,67,M,M,48,1945,82,1960,0.00,M,0.00,1960,
22,21,56,71,M,M,50,1957,80,2003,0.00,M,0.21,1957,
23,22,56,69,M,M,48,1960,85,1958,T,M,T,2011,
24,23,52,64,M,M,48,1960,80,2001,0.00,M,T,2007,
25,24,49,70,M,M,46,2010,82,2006,0.00,M,0.04,1955,
26,25,50,72,M,M,47,2010,78,2006,0.00,M,0.09,1955,
27,26,50,70,M,M,50,2011,76,1960,0.00,M,T,2008,
28,27,51,76,M,M,51,2011,79,1960,0.00,M,0.03,1956,
29,28,52,69,M,M,49,2008,84,2003,0.00,M,0.00,2006,
30,29,49,61,M,M,49,2011,78,2006,0.14,M,0.14,2011,
31,30,43,73,M,M,43,2011,79,2006,0.00,M,0.03,1955,
32,31,48,72,M,M,48,2011,81,2006,0.00,M,0.03,1955,
33,Average:,51.0,70.5,,,,,,,Total: 0.30,Total: 0.00,,,
