,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019,KSDM 11/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,42,79,50,74,34,1945,86,2015,0.00,0.05,0.26,2014,
3,2,50,83,50,74,43,1956,89,2010,0.00,0.05,0.54,1957,
4,3,49,80,50,74,44,1955,99,2010,0.00,0.04,0.36,2015,
5,4,48,78,50,73,40,1956,96,2010,0.00,0.03,0.84,2011,
6,5,50,75,49,73,42,1956,89,2010,0.00,0.02,0.19,1960,
7,6,50,71,49,73,41,1957,91,2014,0.00,0.03,0.20,2011,
8,7,53,72,49,73,42,1957,91,2014,0.00,0.03,0.31,2017,
9,8,50,82,48,73,42,2011,89,2016,0.00,0.03,0.42,1998,
10,9,55,90,48,72,42,2013,95,2016,0.00,0.03,0.19,2008,
11,10,51,70,48,72,42,2010,93,2016,0.00,0.03,0.26,1954,
12,11,51,69,47,72,44,2015,90,2016,0.00,0.02,0.38,1958,
13,12,47,75,47,72,40,2010,86,2016,0.00,0.03,1.09,2011,
14,13,49,73,47,72,42,2015,90,2016,0.00,0.04,0.12,1960,
15,14,49,71,47,71,42,1960,89,2016,0.00,0.03,0.29,1955,
16,15,53,70,46,71,42,1955,91,2008,0.00,0.03,0.29,2015,
17,16,50,75,46,71,38,1958,91,2008,0.00,0.04,0.42,1957,
18,17,52,90,46,71,36,1958,90,2019,0.00,0.03,0.09,1955,
19,18,61,93,46,70,39,1958,93,2019,0.00,0.04,0.00,2006,
20,19,59,78,45,70,39,2009,87,2006,0.41,0.03,T,2011,
21,20,54,62,45,70,43,2017,86,2006,1.04,0.03,1.04,2019,
22,21,52,65,45,70,43,2011,90,2002,0.62,0.04,0.62,2019,
23,22,47,70,45,69,41,2011,95,2017,0.00,0.04,0.37,2013,
24,23,48,75,45,69,40,2010,93,2017,0.00,0.05,T,2010,
25,24,50,74,44,69,40,1955,87,2017,0.00,0.05,0.49,2001,
26,25,47,69,44,69,37,2010,83,1956,0.00,0.05,0.13,2015,
27,26,47,70,44,69,36,2010,85,2009,0.00,0.05,1.27,2008,
28,27,47,65,44,68,34,2010,88,2014,0.29,0.05,0.29,2019,
29,28,49,63,44,68,41,2010,81,2014,1.69,0.05,1.69,2019,
30,29,47,57,44,68,37,2010,83,1999,0.26,0.06,0.91,2018,
31,30,46,62,44,68,37,2010,83,1959,0.11,0.05,0.85,2007,
32,Average:,50.1,73.5,46.5,70.9,,,,,Total: 4.42,Total: 1.15,,,
