,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021,KSDM 06/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,57,73,56,72,49,1999,83,1997,0.00,0.01,T,2018,
3,2,57,75,56,72,46,2011,83,2006,0.00,0.01,0.06,1999,
4,3,61,74,57,72,44,2011,89,2006,0.00,0.01,0.07,1999,
5,4,55,77,57,72,47,2011,80,2006,0.00,0.00,0.31,2011,
6,5,60,76,57,73,44,1999,79,2004,0.00,0.01,0.03,2020,
7,6,61,73,57,73,52,2012,84,2008,0.00,0.00,0.04,2011,
8,7,61,70,57,73,52,2012,77,2012,0.00,0.01,0.03,1998,
9,8,61,73,57,73,50,2007,84,2020,0.00,0.00,0.05,1998,
10,9,60,74,57,73,51,2012,98,2020,0.00,0.01,T,2018,
11,10,52,76,57,73,52,M,93,2020,0.00,0.00,0.01,2015,
12,11,51,80,57,73,51,2021,82,2020,0.00,0.00,0.04,2005,
13,12,55,80,57,74,51,2017,80,2021,0.00,0.01,T,2001,
14,13,58,80,58,74,50,2017,81,2006,0.00,0.00,0.00,2020,
15,14,59,79,58,74,52,2001,86,2018,0.00,0.00,0.01,2008,
16,15,60,96,58,74,50,2002,96,2021,0.00,0.00,T,2009,
17,16,63,83,58,74,53,2010,86,2017,0.00,0.01,0.01,2001,
18,17,62,83,58,75,54,2016,85,2016,0.00,0.00,0.01,2005,
19,18,63,77,58,75,54,1998,90,2008,0.00,0.00,0.01,2001,
20,19,63,76,58,75,52,2005,95,2016,0.00,0.00,0.01,2001,
21,20,60,77,58,75,52,2007,96,2008,0.00,0.01,0.06,2003,
22,21,62,76,59,75,52,2010,97,2008,0.00,0.00,0.03,2019,
23,22,65,76,59,75,53,2010,93,2008,0.00,0.00,T,2011,
24,23,63,78,59,76,52,1999,86,2001,T,0.00,T,2021,
25,24,61,76,59,76,53,1997,81,2006,0.00,0.00,0.01,2019,
26,25,61,76,59,76,56,2012,93,2006,0.00,0.00,0.08,2000,
27,26,61,75,59,76,53,2012,95,2006,0.00,0.00,0.01,2001,
28,27,61,79,59,76,53,2012,103,2006,0.00,0.01,0.08,2006,
29,28,63,80,59,77,54,2007,90,2006,0.00,0.00,0.01,2009,
30,29,64,78,60,77,55,1998,89,2006,0.00,0.00,0.05,2020,
31,30,63,76,60,77,57,2011,91,2013,0.00,0.00,0.01,2005,
32,Average:,60.1,77.4,57.9,74.3,,,,,Total: 0.00,Total: 0.10,,,
