,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021,KSDM 03/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,75,46,67,37,1961,86,2013,0.00,0.13,0.92,1957,
3,2,39,75,46,67,37,2007,85,2013,0.00,0.15,0.57,2015,
4,3,39,61,46,67,39,2021,77,2017,0.77,0.14,0.77,2021,
5,4,44,63,46,67,41,2008,79,1959,0.00,0.13,0.61,2005,
6,5,43,70,46,67,34,1946,81,2007,0.00,0.14,0.67,2000,
7,6,49,66,46,67,39,2008,80,2015,0.00,0.13,1.21,1958,
8,7,47,62,46,67,39,1958,83,1955,0.00,0.13,0.55,2010,
9,8,49,62,46,67,39,2016,81,2014,T,0.12,0.84,2013,
10,9,44,61,46,67,42,2008,85,2014,T,0.10,0.29,1957,
11,10,45,59,46,67,40,2013,83,2017,0.62,0.09,0.62,2021,
12,11,44,57,46,67,40,2009,86,2007,0.15,0.08,0.51,2006,
13,12,40,57,46,67,40,M,90,2007,0.02,0.08,0.39,2020,
14,13,44,59,46,67,37,1956,91,2015,0.04,0.07,0.30,2020,
15,14,46,59,46,67,40,2010,93,2015,0.00,0.06,T,2016,
16,15,48,55,46,67,35,1946,93,2015,0.15,0.06,0.15,2021,
17,16,41,58,46,67,40,2009,91,2014,0.06,0.06,0.65,1958,
18,17,37,63,46,67,37,M,85,2010,0.00,0.07,0.37,2018,
19,18,44,63,46,67,39,2008,82,1960,0.00,0.07,0.46,2020,
20,19,41,70,46,67,39,2018,83,2001,0.00,0.06,0.29,2020,
21,20,44,66,46,67,43,1961,83,1959,0.00,0.06,0.55,2011,
22,21,41,63,46,67,40,1955,80,1959,0.00,0.05,0.37,2011,
23,22,40,68,46,67,39,1955,81,2008,0.00,0.04,0.23,2005,
24,23,47,61,46,67,38,2011,88,2008,0.01,0.05,0.34,2011,
25,24,40,68,47,67,40,M,83,2008,0.00,0.04,0.20,1958,
26,25,46,62,47,67,42,1959,80,2015,0.04,0.05,0.50,1999,
27,26,48,64,47,67,42,1961,90,2015,0.14,0.04,0.14,2021,
28,27,42,76,47,67,41,2018,86,2015,0.00,0.05,0.58,1958,
29,28,47,87,47,67,40,2007,87,2021,0.00,0.05,0.74,1961,
30,29,48,78,47,67,40,1960,80,2017,0.00,0.06,0.14,2006,
31,30,50,69,47,67,44,1961,87,2003,0.00,0.04,0.05,2016,
32,31,47,90,47,67,41,2016,90,2021,0.00,0.05,0.52,1946,
33,Average:,44.2,66.0,46.3,67.0,,,,,Total: 2.00,Total: 2.45,,,
