,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009,KMYF 03/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,52,83,-99,-99,39,2007,83,2009,0.00,0.00,,undefined,
3,2,53,87,-99,-99,39,2007,87,2009,-0.88,0.00,,undefined,
4,3,52,70,-99,-99,39,2002,74,2007,0.00,0.00,,undefined,
5,4,48,66,-99,-99,40,2002,77,2007,0.00,0.00,,undefined,
6,5,48,63,-99,-99,42,2006,80,2007,0.03,0.00,,undefined,
7,6,44,62,-99,-99,43,2003,80,2007,0.00,0.00,,undefined,
8,7,46,62,-99,-99,42,1998,84,2004,0.00,0.00,,undefined,
9,8,49,63,-99,-99,41,1999,88,2004,0.00,0.00,,undefined,
10,9,52,62,-99,-99,41,2000,83,2004,-0.88,0.00,,undefined,
11,10,49,62,-99,-99,42,2000,79,2008,0.00,0.00,,undefined,
12,11,44,62,-99,-99,42,2006,89,2007,0.00,0.00,,undefined,
13,12,49,62,-99,-99,40,1999,89,2007,-0.88,0.00,,undefined,
14,13,44,65,-99,-99,40,1999,76,2007,0.00,0.00,,undefined,
15,14,54,63,-99,-99,40,2006,69,2004,0.00,0.00,,undefined,
16,15,49,62,-99,-99,43,2002,74,2005,0.00,0.00,,undefined,
17,16,46,69,-99,-99,41,1999,75,2005,0.00,0.00,,undefined,
18,17,50,80,-99,-99,41,2008,80,2009,0.00,0.00,,undefined,
19,18,50,81,-99,-99,42,1999,81,2009,0.00,0.00,,undefined,
20,19,52,71,-99,-99,39,2002,71,2009,0.00,0.00,,undefined,
21,20,52,64,-99,-99,44,2002,76,2002,0.00,0.00,,undefined,
22,21,56,65,-99,-99,42,1999,76,2002,0.00,0.00,,undefined,
23,22,49,60,-99,-99,40,2006,82,2008,0.13,0.00,,undefined,
24,23,42,64,-99,-99,42,2009,88,2008,0.00,0.00,,undefined,
25,24,45,76,-99,-99,45,2009,84,2008,0.00,0.00,,undefined,
26,25,46,75,-99,-99,45,2002,75,2009,0.00,0.00,,undefined,
27,26,53,65,-99,-99,46,2005,77,2003,0.00,0.00,,undefined,
28,27,52,77,-99,-99,49,2006,77,2009,0.00,0.00,,undefined,
29,28,49,79,-99,-99,42,2007,89,2004,0.00,0.00,,undefined,
30,29,55,63,-99,-99,43,1998,92,2004,-0.88,0.00,,undefined,
31,30,53,69,-99,-99,39,1998,87,2003,0.00,0.00,,undefined,
32,31,49,72,-99,-99,45,1998,83,2003,0.00,0.00,,undefined,
33,Average:,49.4,68.5,-99.0,-99.0,,,,,Total: -3.36,Total: 0.00,,,
