,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010,KMYF 02/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,47,64,-99,-99,33,2002,75,2000,0.00,0.00,,undefined,
3,2,51,64,-99,-99,37,2002,82,2000,0.00,0.00,,undefined,
4,3,50,64,-99,-99,36,2002,84,2009,0.00,0.00,,undefined,
5,4,49,64,-99,-99,38,2002,81,2009,0.00,0.00,,undefined,
6,5,51,61,-99,-99,39,2008,86,2007,0.12,0.00,,undefined,
7,6,53,61,-99,-99,39,2008,81,2006,0.32,0.00,,undefined,
8,7,47,59,-99,-99,40,2002,79,2006,0.01,0.00,,undefined,
9,8,44,61,-99,-99,41,2007,84,2006,0.00,0.00,,undefined,
10,9,47,60,-99,-99,40,2004,80,2008,0.50,0.00,,undefined,
11,10,43,59,-99,-99,39,2009,78,2008,0.01,0.00,,undefined,
12,11,42,61,-99,-99,36,1999,77,2002,0.00,0.00,,undefined,
13,12,46,64,-99,-99,35,1999,84,2006,0.01,0.00,,undefined,
14,13,47,73,-99,-99,38,1999,78,2006,0.00,0.00,,undefined,
15,14,48,79,-99,-99,40,2008,79,2010,0.00,0.00,,undefined,
16,15,51,79,-99,-99,37,2008,79,2010,0.00,0.00,,undefined,
17,16,49,79,-99,-99,39,2008,79,2010,0.00,0.00,,undefined,
18,17,48,76,-99,-99,43,2008,84,2007,0.00,0.00,,undefined,
19,18,48,67,-99,-99,41,2000,67,2010,0.00,0.00,,undefined,
20,19,53,62,-99,-99,40,2002,77,2000,0.09,0.00,,undefined,
21,20,51,61,-99,-99,39,2006,73,2009,0.37,0.00,,undefined,
22,21,50,61,-99,-99,41,2006,88,2002,0.05,0.00,,undefined,
23,22,46,63,-99,-99,38,2006,91,2002,0.07,0.00,,undefined,
24,23,40,66,-99,-99,40,2010,77,2009,0.00,0.00,,undefined,
25,24,44,66,-99,-99,38,2007,75,1999,0.02,0.00,,undefined,
26,25,52,65,-99,-99,40,2007,76,2002,0.01,0.00,,undefined,
27,26,51,73,-99,-99,43,1998,85,2002,0.00,0.00,,undefined,
28,27,50,60,-99,-99,43,1999,78,2008,1.15,0.00,,undefined,
29,28,46,63,-99,-99,44,2007,86,2009,0.00,0.00,,undefined,
30,Average:,48.0,65.5,-99.0,-99.0,,,,,Total: 2.73,Total: 0.00,,,
