,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010,KMYF 07/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,60,77,-99,-99,58,2004,90,2006,0.00,0.00,,undefined,
3,2,59,73,-99,-99,59,2010,88,2006,0.00,0.00,,undefined,
4,3,59,69,-99,-99,58,1999,90,2003,0.00,0.00,,undefined,
5,4,59,69,-99,-99,59,2010,86,2003,0.00,0.00,,undefined,
6,5,60,69,-99,-99,60,2010,83,2006,0.00,0.00,,undefined,
7,6,60,66,-99,-99,60,2010,82,2006,0.00,0.00,,undefined,
8,7,58,66,-99,-99,58,2010,85,2006,0.00,0.00,,undefined,
9,8,60,64,-99,-99,60,2010,86,2006,0.00,0.00,,undefined,
10,9,60,70,-99,-99,60,2010,86,2006,0.00,0.00,,undefined,
11,10,60,70,-99,-99,60,2010,86,2009,0.00,0.00,,undefined,
12,11,61,72,-99,-99,61,2010,88,2009,0.00,0.00,,undefined,
13,12,62,75,-99,-99,61,2001,92,2009,0.00,0.00,,undefined,
14,13,62,81,-99,-99,60,1998,93,2009,0.00,0.00,,undefined,
15,14,64,90,-99,-99,60,1998,92,2006,0.00,0.00,,undefined,
16,15,67,91,-99,-99,59,1998,96,2006,-0.88,0.00,,undefined,
17,16,68,97,-99,-99,59,1998,97,2010,0.00,0.00,,undefined,
18,17,65,87,-99,-99,58,2001,91,2009,0.00,0.00,,undefined,
19,18,63,76,-99,-99,60,2001,93,2009,0.00,0.00,,undefined,
20,19,63,73,-99,-99,61,2001,89,2009,0.00,0.00,,undefined,
21,20,63,72,-99,-99,60,2002,93,2005,0.00,0.00,,undefined,
22,21,62,69,-99,-99,61,2008,92,2005,0.00,0.00,,undefined,
23,22,60,72,-99,-99,60,2010,106,2006,0.00,0.00,,undefined,
24,23,62,75,-99,-99,61,2001,90,2006,0.00,0.00,,undefined,
25,24,62,75,-99,-99,61,2001,98,2006,-0.88,0.00,,undefined,
26,25,62,72,-99,-99,62,2010,84,2009,0.00,0.00,,undefined,
27,26,62,73,-99,-99,62,2010,91,2006,0.00,0.00,,undefined,
28,27,61,72,-99,-99,61,2010,90,2007,0.00,0.00,,undefined,
29,28,60,72,-99,-99,60,2010,85,2006,0.00,0.00,,undefined,
30,29,61,72,-99,-99,58,2002,80,2009,0.00,0.00,,undefined,
31,30,62,71,-99,-99,61,1999,82,2003,0.00,0.00,,undefined,
32,31,61,73,-99,-99,61,2010,90,2000,0.00,0.00,,undefined,
33,Average:,61.5,74.3,-99.0,-99.0,,,,,Total: -1.76,Total: 0.00,,,
