,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010,KMYF 06/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,67,-99,-99,53,1999,76,2004,0.00,0.00,,undefined,
3,2,59,70,-99,-99,54,1999,85,2006,0.00,0.00,,undefined,
4,3,59,71,-99,-99,53,1999,92,2006,0.00,0.00,,undefined,
5,4,60,73,-99,-99,52,1999,81,2000,0.00,0.00,,undefined,
6,5,60,76,-99,-99,48,1999,82,2002,0.00,0.00,,undefined,
7,6,61,76,-99,-99,56,2008,82,2008,0.00,0.00,,undefined,
8,7,61,74,-99,-99,53,2007,78,2000,0.00,0.00,,undefined,
9,8,58,68,-99,-99,54,2007,74,2005,0.00,0.00,,undefined,
10,9,58,68,-99,-99,56,2004,73,2008,0.00,0.00,,undefined,
11,10,58,65,-99,-99,56,2004,73,2006,0.00,0.00,,undefined,
12,11,57,66,-99,-99,57,2010,72,2006,-0.88,0.00,,undefined,
13,12,57,68,-99,-99,56,1998,73,2007,0.00,0.00,,undefined,
14,13,57,72,-99,-99,54,1998,78,2007,0.00,0.00,,undefined,
15,14,61,77,-99,-99,55,1998,83,2006,0.00,0.00,,undefined,
16,15,57,75,-99,-99,57,2010,83,2008,0.00,0.00,,undefined,
17,16,55,68,-99,-99,55,2010,85,2006,0.00,0.00,,undefined,
18,17,53,71,-99,-99,53,2010,84,2008,0.00,0.00,,undefined,
19,18,58,70,-99,-99,56,1998,91,2008,0.00,0.00,,undefined,
20,19,57,70,-99,-99,56,2005,93,2008,0.00,0.00,,undefined,
21,20,57,73,-99,-99,57,2010,98,2008,0.00,0.00,,undefined,
22,21,56,68,-99,-99,56,2010,99,2008,0.00,0.00,,undefined,
23,22,53,72,-99,-99,53,2010,90,2008,0.00,0.00,,undefined,
24,23,59,75,-99,-99,55,1999,81,2008,0.00,0.00,,undefined,
25,24,58,73,-99,-99,58,2010,80,2006,0.00,0.00,,undefined,
26,25,58,72,-99,-99,54,2003,91,2006,0.00,0.00,,undefined,
27,26,59,69,-99,-99,57,2003,94,2006,0.00,0.00,,undefined,
28,27,60,71,-99,-99,57,2002,98,2006,0.00,0.00,,undefined,
29,28,59,65,-99,-99,56,1999,90,2006,0.00,0.00,,undefined,
30,29,60,70,-99,-99,60,2010,91,2006,0.00,0.00,,undefined,
31,30,61,75,-99,-99,60,2003,88,2006,0.00,0.00,,undefined,
32,Average:,58.2,70.9,-99.0,-99.0,,,,,Total: -0.88,Total: 0.00,,,
