,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010,KMYF 09/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,56,80,-99,-99,56,2010,97,2002,0.00,0.00,,undefined,
3,2,58,81,-99,-99,58,2010,98,2007,0.00,0.00,,undefined,
4,3,60,85,-99,-99,56,1999,104,2007,0.00,0.00,,undefined,
5,4,61,89,-99,-99,59,2004,95,2009,0.00,0.00,,undefined,
6,5,59,76,-99,-99,59,2010,99,2004,0.00,0.00,,undefined,
7,6,60,69,-99,-99,58,2005,90,2008,0.00,0.00,,undefined,
8,7,60,71,-99,-99,60,2010,89,2004,0.00,0.00,,undefined,
9,8,62,70,-99,-99,61,2001,82,2004,0.00,0.00,,undefined,
10,9,57,71,-99,-99,57,2010,87,2004,-0.88,0.00,,undefined,
11,10,55,74,-99,-99,55,2010,90,2004,-0.88,0.00,,undefined,
12,11,59,74,-99,-99,59,2010,92,2004,-0.88,0.00,,undefined,
13,12,60,74,-99,-99,57,2005,86,2006,0.00,0.00,,undefined,
14,13,58,78,-99,-99,58,2010,84,2007,-0.88,0.00,,undefined,
15,14,61,78,-99,-99,57,2005,80,2002,0.00,0.00,,undefined,
16,15,58,78,-99,-99,57,1999,84,2002,0.00,0.00,,undefined,
17,16,58,74,-99,-99,56,1999,78,2009,0.00,0.00,,undefined,
18,17,57,75,-99,-99,57,2010,88,2006,0.00,0.00,,undefined,
19,18,57,78,-99,-99,57,2010,91,2006,0.00,0.00,,undefined,
20,19,58,77,-99,-99,56,1999,85,2006,0.00,0.00,,undefined,
21,20,57,72,-99,-99,54,1999,86,2009,0.00,0.00,,undefined,
22,21,58,67,-99,-99,53,2007,88,2004,0.00,0.00,,undefined,
23,22,57,70,-99,-99,57,2010,90,2004,0.00,0.00,,undefined,
24,23,55,74,-99,-99,54,2007,103,2009,-0.88,0.00,,undefined,
25,24,58,82,-99,-99,55,2007,93,2009,0.00,0.00,,undefined,
26,25,61,91,-99,-99,56,2005,92,2001,0.00,0.00,,undefined,
27,26,64,98,-99,-99,57,1998,98,2010,0.00,0.00,,undefined,
28,27,71,107,-99,-99,57,1998,107,2010,0.00,0.00,,undefined,
29,28,71,87,-99,-99,55,1998,93,2005,-0.88,0.00,,undefined,
30,29,67,86,-99,-99,56,2001,99,1999,0.00,0.00,,undefined,
31,30,65,79,-99,-99,55,2007,95,2008,0.21,0.00,,undefined,
32,Average:,59.9,78.8,-99.0,-99.0,,,,,Total: -5.07,Total: 0.00,,,
