,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011,KMYF 01/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,39,60,M,M,39,2011,76,2008,0.00,M,0.20,2006,
3,2,38,58,M,M,38,2011,76,2003,M,M,0.39,2004,
4,3,48,57,M,M,37,2000,80,2010,0.02,M,1.00,2005,
5,4,43,64,M,M,39,2000,79,2003,0.00,M,0.47,2005,
6,5,42,69,M,M,38,2009,82,2006,0.00,M,1.10,2008,
7,6,42,71,M,M,40,2004,85,2006,T,M,0.63,2008,
8,7,45,61,M,M,39,1999,80,2003,0.00,M,0.72,2005,
9,8,43,57,M,M,37,2000,79,2007,0.00,M,0.01,2008,
10,9,46,58,M,M,38,2000,79,2007,0.00,M,1.18,2005,
11,10,43,63,M,M,39,2000,78,2010,0.00,M,0.19,2005,
12,11,43,69,M,M,41,2000,82,2002,0.00,M,1.10,2005,
13,12,46,71,M,M,39,2007,86,2009,0.00,M,T,2007,
14,13,46,72,M,M,34,2007,82,2009,0.00,M,0.01,2006,
15,14,46,80,M,M,30,2007,85,2009,0.00,M,0.01,2003,
16,15,47,78,M,M,32,2007,81,2009,T,M,T,2006,
17,16,48,81,M,M,31,2007,83,2003,0.00,M,0.00,2006,
18,17,51,85,M,M,33,2007,85,2011,0.00,M,0.01,2010,
19,18,53,81,M,M,35,2007,82,2009,0.00,M,1.53,2010,
20,19,49,61,M,M,38,2002,85,2005,0.00,M,0.69,2010,
21,20,49,73,M,M,38,2008,83,2009,0.00,M,1.26,2010,
22,21,41,76,M,M,36,2006,76,2011,0.00,M,0.97,2010,
23,22,44,67,M,M,36,2007,76,2005,0.00,M,0.64,2010,
24,23,45,76,M,M,37,2007,76,2011,0.00,M,0.59,2008,
25,24,41,71,M,M,40,2010,78,2000,0.00,M,0.06,2008,
26,25,45,72,M,M,39,2002,82,2003,0.00,M,0.79,1999,
27,26,43,78,M,M,39,2002,84,2003,0.00,M,0.75,1999,
28,27,47,77,M,M,40,2009,81,2003,0.00,M,0.46,2008,
29,28,43,77,M,M,38,1999,77,2011,0.00,M,0.28,2002,
30,29,42,66,M,M,38,1999,79,2009,0.00,M,0.21,2007,
31,30,53,60,M,M,35,2002,80,2003,0.10,M,0.28,2007,
32,31,47,62,M,M,34,2002,88,2003,0.01,M,0.06,1999,
33,Average:,45.1,69.4,,,,,,,Total: 0.13,Total: 0.00,,,
