,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011,KMYF 10/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,61,83,60,77,54,2002,95,2008,0.00,0.00,0.09,2002,
3,2,61,86,60,77,51,2002,87,2008,0.00,0.01,T,2009,
4,3,62,77,60,77,51,2002,83,2007,0.00,0.00,0.00,2006,
5,4,58,67,59,77,52,2002,79,2001,0.07,0.01,0.07,2011,
6,5,55,67,59,77,50,2009,90,2005,0.61,0.01,0.61,2011,
7,6,53,66,59,77,51,2009,94,2005,0.00,0.02,T,2006,
8,7,50,70,59,77,50,2011,95,2008,0.00,0.02,T,2006,
9,8,51,78,59,77,51,2011,97,2008,0.00,0.01,0.00,2006,
10,9,54,82,58,76,50,1998,95,1999,0.00,0.02,T,2007,
11,10,54,78,58,76,54,2011,93,1999,0.00,0.02,T,2005,
12,11,54,81,58,76,52,2008,81,2011,0.00,0.01,0.00,2006,
13,12,60,97,58,76,47,2008,97,2011,0.00,0.02,T,2009,
14,13,63,95,58,76,47,2008,95,2011,0.00,0.03,0.18,2007,
15,14,60,80,57,76,54,2001,94,2005,0.00,0.03,0.89,2006,
16,15,60,75,57,76,54,2008,89,2008,0.00,0.03,T,2006,
17,16,60,73,57,76,54,2008,92,2009,0.00,0.03,0.04,2005,
18,17,56,78,57,76,50,1998,87,2009,0.00,0.03,0.29,2005,
19,18,57,72,56,76,48,1998,84,2003,0.00,0.03,0.35,2004,
20,19,59,67,56,75,51,1998,89,1999,0.02,0.03,1.06,2010,
21,20,59,69,56,75,51,1998,94,1999,0.00,0.03,0.97,2004,
22,21,58,70,56,75,52,2008,95,2003,0.00,0.03,0.07,2004,
23,22,56,76,55,75,52,2004,94,2008,0.00,0.03,0.01,2006,
24,23,58,71,55,75,51,2004,91,2008,0.00,0.03,0.02,2010,
25,24,59,69,55,75,54,2008,94,2007,T,0.03,T,2006,
26,25,59,70,55,75,53,2008,87,2007,T,0.03,0.10,2010,
27,26,54,69,54,75,51,2007,90,2006,T,0.04,0.03,2002,
28,27,49,76,54,75,49,2011,91,2008,0.00,0.03,2.71,2004,
29,28,47,79,54,74,47,2011,90,2008,0.00,0.04,0.12,2004,
30,29,51,79,54,74,43,2009,88,2008,0.00,0.03,0.00,2006,
31,30,50,83,53,74,47,2009,88,1999,0.00,0.04,0.16,2010,
32,31,51,79,53,74,49,2010,87,1999,0.00,0.04,0.00,2006,
33,Average:,56.1,76.2,56.7,75.7,,,,,Total: 0.70,Total: 0.76,,,
