,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012,KMYF 12/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,58,69,47,67,35,2004,90,1998,0.00,0.02,0.64,2007,
3,2,58,69,46,67,37,2004,81,2006,T,0.03,0.03,2005,
4,3,56,68,46,66,38,2004,74,2006,0.00,0.03,0.14,2001,
5,4,58,69,46,66,38,1999,77,2007,0.00,0.03,0.25,2004,
6,5,55,68,46,66,38,2011,76,2008,0.00,0.03,0.37,1998,
7,6,56,68,46,66,36,2011,77,2008,0.00,0.03,0.22,1998,
8,7,55,65,46,66,34,1998,83,2001,0.00,0.04,2.00,2009,
9,8,52,67,46,66,37,2011,80,2001,0.00,0.04,0.64,2007,
10,9,49,66,46,66,37,1998,74,2008,0.00,0.03,0.10,2006,
11,10,45,73,46,66,41,2011,82,2004,0.00,0.03,0.17,2006,
12,11,46,74,46,66,39,1998,75,2010,0.00,0.04,0.09,2007,
13,12,48,66,45,66,39,2003,86,2010,T,0.04,0.42,2011,
14,13,52,60,45,66,40,2007,84,2010,1.47,0.03,1.47,2012,
15,14,50,59,45,66,38,2007,78,2004,0.18,0.04,0.18,2012,
16,15,49,58,45,66,39,2011,75,2004,0.21,0.05,1.28,2008,
17,16,50,60,45,66,36,2001,76,2004,0.06,0.04,0.86,2002,
18,17,53,63,45,66,38,2001,78,1999,0.03,0.05,1.70,2008,
19,18,51,60,45,66,39,2006,80,2004,0.48,0.05,0.48,2012,
20,19,38,59,45,66,36,2006,80,2004,0.00,0.04,0.25,2010,
21,20,38,69,45,66,37,2006,77,1999,0.00,0.06,0.72,2010,
22,21,39,63,45,66,37,1998,83,2005,0.00,0.06,2.06,2010,
23,22,40,60,45,66,36,1998,73,1999,0.00,0.06,2.17,2010,
24,23,43,64,45,66,34,2011,75,1999,0.00,0.06,0.03,2008,
25,24,48,62,45,66,32,1998,77,1999,0.08,0.06,0.09,2003,
26,25,46,65,45,66,35,1998,79,2006,0.00,0.07,0.60,2003,
27,26,46,59,45,66,39,2007,75,2006,0.06,0.08,0.23,2010,
28,27,44,58,45,66,36,2008,73,1999,T,0.08,0.18,2006,
29,28,41,63,44,66,34,2003,79,2011,0.00,0.10,0.99,2004,
30,29,43,59,44,66,38,2003,77,2011,0.09,0.10,0.49,2010,
31,30,41,55,44,66,40,2010,72,2008,0.27,0.11,0.27,2012,
32,31,36,60,44,66,36,2012,73,2011,0.00,0.10,0.22,2005,
33,Average:,47.9,63.8,45.3,66.1,,,,,Total: 2.93,Total: 1.63,,,
