,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013,KMYF 08/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,63,74,65,80,59,2010,93,2000,0.00,0.00,0.00,2006,
3,2,63,73,65,80,60,1999,87,1999,0.00,0.00,0.00,2006,
4,3,62,74,65,80,59,1999,89,2009,0.00,0.00,0.02,2006,
5,4,61,75,65,80,59,2011,91,2009,0.00,0.00,0.00,2006,
6,5,62,76,65,80,61,1999,92,2009,0.00,0.00,0.00,2006,
7,6,61,75,65,80,61,2013,85,2008,0.00,0.00,0.00,2006,
8,7,62,77,65,80,61,2010,86,2012,0.00,0.00,0.00,2006,
9,8,62,76,65,81,59,2002,87,2003,0.00,0.00,0.00,2006,
10,9,61,74,65,81,57,2010,96,1998,0.00,0.00,0.00,2006,
11,10,60,72,65,81,60,2013,93,2003,0.00,0.00,0.00,2006,
12,11,60,75,65,81,60,2013,92,2000,0.00,0.00,0.00,2006,
13,12,62,76,65,81,60,2010,94,2012,0.00,0.00,0.00,2006,
14,13,62,75,65,81,60,2010,92,1998,0.00,0.00,T,2008,
15,14,62,76,65,81,59,2010,89,2003,0.00,0.00,0.00,2006,
16,15,62,77,65,81,57,2010,89,2003,0.00,0.00,0.00,2006,
17,16,64,80,65,81,59,2010,90,2012,0.00,0.00,0.00,2006,
18,17,63,83,65,81,61,2011,93,2012,0.00,0.00,0.00,2006,
19,18,62,76,65,81,61,2011,94,2010,0.00,0.01,0.00,2006,
20,19,62,77,65,81,60,2011,90,2010,0.00,0.00,0.00,2006,
21,20,63,79,65,81,60,1999,91,2007,0.00,0.00,0.00,2006,
22,21,63,81,65,81,60,1999,89,2007,0.00,0.00,T,2009,
23,22,63,84,65,81,62,2001,85,2010,0.00,0.00,T,2009,
24,23,65,83,65,81,61,2002,92,2010,0.00,0.00,0.00,2006,
25,24,63,80,65,81,60,2002,90,2010,0.00,0.01,0.00,2006,
26,25,62,86,65,81,59,2002,94,2009,0.00,0.00,0.00,2006,
27,26,69,86,65,81,61,2002,98,2009,T,0.01,T,2013,
28,27,68,85,65,81,58,2010,103,2009,0.00,0.00,0.00,2006,
29,28,67,90,65,81,56,2010,101,2009,0.00,0.01,0.02,2003,
30,29,69,93,65,81,60,2010,105,2009,0.00,0.00,0.00,2006,
31,30,73,91,65,81,58,2010,98,1998,0.00,0.01,T,2008,
32,31,74,86,65,81,55,2010,96,1998,0.00,0.00,T,2007,
33,Average:,63.7,79.5,65.0,80.8,,,,,Total: 0.00,Total: 0.05,,,
