,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017,KMYF 04/2017
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,48,70,49,68,40,1998,84,2011,0.00,0.02,0.54,1999,
3,2,51,76,50,68,37,1999,80,2005,0.00,0.03,T,1999,
4,3,55,65,50,68,44,2014,86,2015,0.00,0.03,0.09,1999,
5,4,56,69,50,68,43,2003,81,2015,0.00,0.02,0.66,2006,
6,5,53,83,50,68,40,1999,83,2017,0.00,0.03,0.48,2006,
7,6,53,75,50,68,42,2003,88,2005,0.00,0.03,0.12,2002,
8,7,54,73,50,68,44,1999,86,2014,0.00,0.03,0.30,2016,
9,8,52,69,50,68,43,1998,88,2014,T,0.02,0.10,2011,
10,9,49,67,51,68,42,2011,91,2014,0.00,0.02,0.11,2011,
11,10,48,74,51,69,38,1999,83,2014,0.00,0.03,0.48,2016,
12,11,49,73,51,69,44,1999,84,2008,0.00,0.03,0.40,1999,
13,12,52,74,51,69,46,1999,93,2008,0.00,0.03,0.62,2010,
14,13,57,73,51,69,45,2007,94,2008,0.00,0.03,0.42,2012,
15,14,51,66,52,69,47,2012,82,2008,0.00,0.03,1.29,2003,
16,15,49,72,52,69,43,2012,84,1999,0.00,0.03,0.38,1998,
17,16,53,77,52,69,43,1998,89,1999,0.00,0.03,T,2009,
18,17,54,76,52,69,43,2015,89,2016,0.00,0.03,0.43,2003,
19,18,60,74,52,69,47,1998,91,2016,T,0.03,0.03,2010,
20,19,57,74,53,69,44,2007,93,2009,0.02,0.03,T,2008,
21,20,53,73,53,70,45,2005,100,2009,0.00,0.04,0.62,2007,
22,21,53,87,53,70,47,2007,87,2017,0.00,0.03,0.22,2010,
23,22,57,86,53,70,47,2010,86,2017,0.00,0.03,0.31,2010,
24,23,57,74,53,70,43,2010,82,2004,0.00,0.04,0.15,2006,
25,24,59,69,54,70,50,2008,80,2004,0.00,0.03,0.20,2002,
26,25,57,69,54,70,50,2008,86,2008,0.00,0.03,T,2011,
27,26,53,73,54,70,49,2009,97,2004,0.00,0.03,0.32,2002,
28,27,59,71,54,70,50,2003,96,2008,0.00,0.03,T,2016,
29,28,57,77,54,70,48,2002,93,2008,0.00,0.03,0.40,2005,
30,29,55,82,55,70,48,2002,93,2014,0.00,0.02,0.03,1999,
31,30,54,87,55,70,48,2010,91,2014,T,0.02,0.03,2002,
32,Average:,53.8,74.3,52.0,69.1,,,,,Total: 0.02,Total: 0.86,,,
