,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018,KMYF 05/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,52,60,55,70,44,1999,94,2014,0.01,0.02,T,2007,
3,2,51,63,55,70,48,2002,98,2004,0.03,0.01,T,2007,
4,3,49,69,55,70,49,2018,102,2004,0.00,0.01,0.43,2003,
5,4,55,87,55,70,50,1999,87,2018,0.00,0.01,0.05,2003,
6,5,57,84,56,71,47,1999,84,2018,0.00,0.01,0.25,2005,
7,6,56,81,56,71,50,2017,91,2004,0.00,0.02,0.35,2016,
8,7,55,73,56,71,48,2017,91,2007,0.00,0.01,0.48,2017,
9,8,56,73,56,71,49,2017,93,2007,0.00,0.01,0.62,2015,
10,9,58,73,56,71,51,2003,86,2007,0.00,0.01,T,2011,
11,10,59,72,56,71,45,2003,78,2007,0.00,0.01,0.00,2006,
12,11,57,61,56,71,49,2003,83,2013,T,0.01,T,2010,
13,12,54,64,56,71,48,2010,90,2013,T,0.01,0.49,1998,
14,13,57,69,57,71,49,1998,97,2013,0.00,0.01,0.10,1998,
15,14,56,69,57,71,49,1998,95,2014,0.00,0.00,0.53,2015,
16,15,58,72,57,71,49,1998,99,2014,0.00,0.01,0.61,2015,
17,16,59,69,57,71,50,1999,95,2014,0.00,0.00,T,2005,
18,17,54,68,57,71,50,1999,90,2008,0.00,0.01,0.13,2011,
19,18,58,67,57,71,52,2011,91,2008,T,0.00,0.23,2011,
20,19,58,67,57,71,50,2011,86,2008,0.00,0.00,T,2014,
21,20,59,65,57,71,55,2011,87,2017,0.00,0.00,0.01,2002,
22,21,57,65,57,71,53,2002,83,2005,T,0.01,T,2006,
23,22,58,67,57,71,49,2002,80,2017,0.00,0.00,0.64,2006,
24,23,59,67,57,71,50,2010,78,2017,0.00,0.00,T,2007,
25,24,58,66,57,71,49,2010,82,2006,0.00,0.00,0.01,2008,
26,25,59,69,57,71,49,2008,76,2005,0.00,0.01,0.03,2016,
27,26,55,68,57,71,51,1998,77,2014,0.00,0.00,T,2008,
28,27,59,70,58,71,50,1998,78,2011,0.00,0.00,T,2008,
29,28,59,73,58,71,52,1998,84,2003,0.00,0.00,0.00,2006,
30,29,60,69,58,71,52,2010,77,2006,0.00,0.01,0.06,2011,
31,30,58,71,58,71,50,2011,80,2006,0.00,0.00,0.03,2016,
32,31,59,71,58,71,52,2011,83,2006,T,0.00,0.01,2009,
33,Average:,56.7,69.7,56.6,70.9,,,,,Total: 0.04,Total: 0.20,,,
