,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010,KSAN 11/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,57,75,57,72,45,1916,97,1966,0.00,0.03,,undefined,
3,2,60,88,57,72,44,1886,90,1997,0.00,0.03,,undefined,
4,3,61,93,57,72,47,1946,93,2010,0.00,0.03,,undefined,
5,4,67,100,56,71,44,1935,100,2010,0.00,0.03,,undefined,
6,5,66,88,56,71,42,1881,92,1976,0.00,0.03,,undefined,
7,6,63,70,56,71,46,1935,90,1949,0.00,0.03,,undefined,
8,7,58,70,56,71,46,1925,89,1956,0.00,0.03,,undefined,
9,8,59,67,55,71,46,1881,93,1904,0.07,0.03,,undefined,
10,9,56,68,55,71,42,1881,96,1956,0.00,0.03,,undefined,
11,10,53,66,55,71,44,1919,91,1956,0.00,0.03,,undefined,
12,11,54,74,55,71,43,1915,86,1974,0.00,0.03,,undefined,
13,12,53,77,54,70,42,1938,91,1974,0.00,0.03,,undefined,
14,13,52,74,54,70,40,1880,89,1949,0.00,0.03,,undefined,
15,14,53,78,54,70,39,1916,87,1949,0.00,0.04,,undefined,
16,15,56,67,54,70,38,1964,89,2008,0.00,0.04,,undefined,
17,16,53,65,53,70,42,1958,86,2008,0.00,0.04,,undefined,
18,17,58,68,53,70,41,1958,88,1976,0.00,0.04,,undefined,
19,18,55,67,53,70,38,1881,86,1949,0.00,0.04,,undefined,
20,19,60,64,53,69,39,1994,85,1917,0.00,0.04,,undefined,
21,20,58,64,52,69,38,1964,86,1914,0.53,0.04,,undefined,
22,21,55,62,52,69,40,1941,86,1954,0.19,0.04,,undefined,
23,22,52,62,52,69,40,1931,83,1954,0.00,0.04,,undefined,
24,23,50,62,52,69,38,1931,86,1950,0.01,0.04,,undefined,
25,24,50,59,52,69,38,1931,87,1932,0.03,0.04,,undefined,
26,25,46,63,51,69,39,1906,89,1953,0.00,0.04,,undefined,
27,26,43,65,51,68,41,1880,85,1956,0.00,0.04,,undefined,
28,27,46,62,51,68,40,1948,83,1903,0.05,0.04,,undefined,
29,28,50,61,51,68,36,1919,82,1980,-0.88,0.04,,undefined,
30,29,44,64,51,68,41,1919,86,1907,0.00,0.04,,undefined,
31,30,42,66,50,68,40,1931,85,1964,0.00,0.04,,undefined,
32,Average:,54.3,70.3,53.6,69.9,,,,,Total: 0.00,Total: 1.07,,,
