,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011,KSAN 03/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,48,64,52,66,41,1888,82,1901,0.00,0.08,1.64,1981,
3,2,50,64,53,66,39,1971,85,2009,0.00,0.08,1.95,1992,
4,3,57,68,53,66,38,1894,79,1931,0.00,0.08,1.32,1896,
5,4,57,68,53,66,39,1894,85,1987,0.00,0.08,1.12,2005,
6,5,54,77,53,66,36,1894,86,1899,0.00,0.08,1.18,1981,
7,6,55,63,53,66,38,1880,84,1979,0.07,0.08,1.44,1975,
8,7,55,62,53,66,41,1891,88,1914,0.07,0.08,2.11,1952,
9,8,53,66,53,66,39,1882,85,1996,0.00,0.08,1.33,1968,
10,9,53,77,53,66,40,1922,85,1934,0.00,0.08,0.79,1884,
11,10,55,73,53,66,40,1935,85,1997,0.00,0.08,0.98,1980,
12,11,52,69,53,66,40,1935,88,1959,0.00,0.08,1.77,1995,
13,12,58,64,53,66,38,1922,86,2007,0.00,0.08,1.10,1941,
14,13,57,65,53,66,40,1917,87,1994,0.00,0.08,1.28,1941,
15,14,54,71,53,66,38,1898,83,1951,0.00,0.08,1.39,1942,
16,15,57,70,53,66,39,1880,80,1978,0.00,0.08,1.40,1930,
17,16,57,68,54,66,38,1895,91,1978,0.00,0.08,1.32,1958,
18,17,56,67,54,66,40,1881,93,1978,0.00,0.08,2.03,1982,
19,18,53,69,54,66,41,1920,82,1960,0.00,0.07,0.57,1886,
20,19,54,64,54,66,39,1880,86,1997,T,0.07,1.15,1991,
21,20,54,62,54,66,42,1898,88,1997,0.79,0.07,0.98,1919,
22,21,53,62,54,66,37,1894,90,1931,0.13,0.07,1.83,1893,
23,22,53,63,54,66,38,1894,82,1887,T,0.07,1.39,1954,
24,23,49,64,54,67,40,1898,88,1926,0.34,0.07,0.81,1904,
25,24,53,64,54,67,43,1929,85,1896,0.01,0.07,2.36,1906,
26,25,55,65,54,67,41,1880,89,1988,0.05,0.07,0.85,1998,
27,26,51,64,54,67,41,1936,93,1988,T,0.06,0.98,1991,
28,27,56,65,54,67,41,1880,82,1952,T,0.06,0.92,1991,
29,28,58,66,55,67,41,1920,95,1879,0.00,0.06,0.99,1896,
30,29,58,66,55,67,43,1884,99,1879,0.00,0.06,0.47,1925,
31,30,55,73,55,67,39,1875,82,2003,0.00,0.05,1.00,1946,
32,31,60,82,55,67,38,1905,84,1945,0.00,0.05,1.18,1941,
33,Average:,54.5,67.3,53.6,66.3,,,,,Total: 1.46,Total: 2.26,,,
