,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012,KSAN 10/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,66,80,63,74,52,1893,93,1965,0.00,0.01,0.44,1921,
3,2,68,86,63,74,50,1925,94,1945,0.00,0.01,0.23,1916,
4,3,67,82,63,74,48,1884,104,1987,0.00,0.01,0.55,1914,
5,4,67,75,63,74,48,1884,97,1987,0.00,0.02,2.95,1925,
6,5,66,73,63,74,48,1884,97,1971,0.00,0.01,0.55,1925,
7,6,64,77,63,74,47,1884,101,1971,0.00,0.01,0.74,2010,
8,7,68,75,62,74,48,1916,91,1951,0.00,0.02,0.53,1939,
9,8,67,75,62,73,49,1883,94,2008,0.00,0.01,0.62,1857,
10,9,68,74,62,73,50,1879,99,1994,0.00,0.02,0.74,1932,
11,10,66,73,62,73,47,1879,92,1991,T,0.01,0.91,1986,
12,11,62,69,62,73,46,1879,89,1991,0.09,0.01,0.51,1987,
13,12,60,71,61,73,47,1886,94,1939,0.45,0.01,0.45,1941,
14,13,59,73,61,73,48,1886,94,1912,0.00,0.02,1.54,1889,
15,14,61,81,61,73,48,1892,107,1961,0.00,0.02,0.78,1877,
16,15,64,77,61,73,47,1881,97,1961,0.00,0.02,0.96,1878,
17,16,63,84,61,73,48,1892,97,1958,0.00,0.02,0.68,1971,
18,17,64,92,61,73,47,1938,98,1958,0.00,0.02,0.72,1971,
19,18,69,74,60,73,47,1881,91,1940,0.00,0.02,1.00,1948,
20,19,66,75,60,73,46,1892,97,1964,0.00,0.02,0.91,2010,
21,20,64,69,60,73,46,1949,95,1964,0.02,0.03,0.95,2004,
22,21,64,69,60,72,45,1949,101,1965,0.14,0.02,0.32,1976,
23,22,62,69,60,72,46,1906,104,1965,0.00,0.02,0.91,1941,
24,23,61,70,59,72,47,1886,93,1965,T,0.02,0.88,1941,
25,24,60,69,59,72,47,1892,94,1965,0.00,0.02,1.00,1919,
26,25,56,72,59,72,48,1879,95,1983,0.00,0.02,0.80,1940,
27,26,57,83,59,72,46,1874,92,1983,0.00,0.02,0.44,1991,
28,27,57,84,59,72,47,1885,91,1879,0.00,0.03,2.70,2004,
29,28,57,77,58,72,47,1874,92,1879,0.00,0.02,0.60,1974,
30,29,55,76,58,72,45,1971,89,1931,0.00,0.03,0.50,2000,
31,30,54,71,58,72,43,1971,89,1962,0.00,0.02,0.68,1957,
32,31,59,68,58,72,45,1894,90,1918,0.00,0.03,1.01,1927,
33,Average:,62.6,75.6,60.7,72.9,,,,,Total: 0.70,Total: 0.57,,,
