,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012,KSAN 09/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,68,83,67,77,58,1881,104,1955,0.00,0.00,0.02,1909,
3,2,68,79,66,77,56,1898,99,1955,0.00,0.00,T,1967,
4,3,66,79,66,77,58,1916,92,1998,0.00,0.00,0.07,1884,
5,4,69,84,66,77,55,1899,107,1988,0.00,0.00,0.86,1963,
6,5,72,83,66,77,54,1912,97,1988,0.00,0.01,0.53,1939,
7,6,72,82,66,77,56,1942,97,2011,0.00,0.00,0.59,1939,
8,7,72,81,66,77,55,1911,92,1949,0.00,0.00,0.37,1957,
9,8,71,78,66,77,55,1893,100,1984,0.00,0.00,0.16,1982,
10,9,70,80,66,77,54,1911,96,1956,T,0.00,0.09,1976,
11,10,69,81,66,77,55,1876,95,1878,0.00,0.01,0.87,1976,
12,11,71,76,66,77,56,1924,102,1959,0.00,0.00,0.10,1854,
13,12,71,79,66,76,54,1884,97,1878,0.00,0.01,0.24,1939,
14,13,69,76,66,76,55,1909,92,1971,0.00,0.00,0.28,1941,
15,14,68,89,66,76,53,1894,92,1879,0.00,0.01,0.29,1875,
16,15,71,101,65,76,52,1884,101,2012,0.00,0.00,0.12,1906,
17,16,66,78,65,76,51,1884,100,1909,0.00,0.01,0.24,1978,
18,17,69,77,65,76,53,1908,110,1913,0.00,0.00,0.48,1963,
19,18,69,77,65,76,50,1882,95,1939,0.00,0.01,0.41,1963,
20,19,68,79,65,76,50,1882,97,1939,0.00,0.00,0.15,1989,
21,20,68,80,65,76,53,1893,100,1939,0.00,0.01,0.24,1991,
22,21,69,79,65,75,53,1997,106,1939,0.00,0.01,0.07,1947,
23,22,69,82,65,75,53,1944,102,1939,0.00,0.00,0.70,1987,
24,23,69,90,64,75,52,1941,103,1975,0.00,0.01,0.14,1958,
25,24,68,80,64,75,52,1881,99,1978,0.00,0.01,0.48,1958,
26,25,67,75,64,75,52,1920,101,1978,0.00,0.00,0.90,1986,
27,26,67,75,64,75,50,1907,111,1963,0.00,0.01,0.13,1919,
28,27,67,76,64,75,52,1908,104,1963,0.00,0.01,0.15,1890,
29,28,65,77,64,75,53,1880,99,1963,0.00,0.01,0.16,1905,
30,29,67,83,64,74,50,1880,91,1918,0.00,0.01,0.37,1890,
31,30,68,83,63,74,51,1880,91,1906,0.00,0.01,1.23,1921,
32,Average:,68.8,80.7,65.2,76.0,,,,,Total: 0.00,Total: 0.15,,,
