,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017,KSAN 01/2017
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,49,59,48,65,35,1919,78,1898,T,0.07,1.60,1855,
3,2,54,60,48,65,35,1919,80,1893,T,0.06,1.53,1879,
4,3,52,62,48,65,34,1949,83,1943,0.00,0.07,1.08,2005,
5,4,49,65,48,65,29,1949,86,1969,0.00,0.07,2.24,1995,
6,5,56,66,48,65,30,1949,83,2012,0.16,0.06,1.65,2016,
7,6,53,64,49,65,28,1913,83,2006,0.00,0.07,1.27,1977,
8,7,52,71,49,65,25,1913,82,2003,0.00,0.06,1.27,1957,
9,8,54,74,49,65,33,1894,78,1983,0.00,0.07,0.96,1931,
10,9,58,63,49,65,35,1891,85,1923,0.18,0.06,1.02,1980,
11,10,55,65,49,65,34,1888,88,1953,T,0.06,1.76,1911,
12,11,56,61,49,65,35,1913,83,1983,0.05,0.07,1.56,1886,
13,12,54,61,49,65,34,1882,82,1986,0.32,0.06,2.49,1882,
14,13,53,60,49,65,31,1963,83,1904,0.35,0.07,1.29,1952,
15,14,53,64,49,65,35,1963,82,1975,T,0.06,2.12,1978,
16,15,54,62,49,65,34,1888,82,2014,0.00,0.07,1.80,1993,
17,16,53,64,49,65,34,1947,86,1976,0.00,0.06,1.12,1993,
18,17,50,66,49,65,34,1888,86,1977,0.00,0.07,1.55,1916,
19,18,50,62,49,65,34,1888,81,2009,T,0.06,1.35,1874,
20,19,56,65,49,65,39,1948,87,2005,0.19,0.06,2.15,1895,
21,20,54,61,49,65,33,1883,80,1976,1.11,0.06,1.37,1962,
22,21,53,61,49,65,32,1883,82,1912,0.03,0.07,1.67,1915,
23,22,53,62,49,65,30,1937,80,2013,0.35,0.05,1.53,1967,
24,23,51,60,49,65,37,1937,81,1953,0.22,0.06,2.23,1943,
25,24,49,57,49,65,35,1932,82,1951,0.05,0.06,0.62,1941,
26,25,45,60,49,65,36,1949,81,1951,0.00,0.07,1.99,1995,
27,26,44,62,50,65,36,1949,82,2003,0.00,0.06,2.04,1914,
28,27,44,66,50,65,37,1950,83,1984,0.00,0.06,2.19,1916,
29,28,44,69,50,65,36,1948,83,1962,0.00,0.07,1.32,1915,
30,29,45,76,50,65,33,1880,81,1984,0.00,0.06,1.92,1980,
31,30,49,77,50,65,34,1949,82,1984,0.00,0.06,0.80,1966,
32,31,50,71,50,65,32,1880,83,2003,0.00,0.07,2.57,1979,
33,Average:,51.4,64.4,49.0,65.0,,,,,Total: 3.01,Total: 1.98,,,
