ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,7,2017,A,Y,0,0,0
91901,7,2017,C,Y,772,4452061,5767
91901,7,2017,I,Y,0,0,0
91901,7,2017,R,Y,8286,7265745,877
91902,7,2017,A,Y,0,0,0
91902,7,2017,C,N,322,1711037,5314
91902,7,2017,I,Y,0,0,0
91902,7,2017,R,N,6293,3574205,568
91905,7,2017,A,Y,0,0,0
91905,7,2017,C,Y,0,0,0
91905,7,2017,I,Y,0,0,0
91905,7,2017,R,Y,292,200593,687
91906,7,2017,A,Y,0,0,0
91906,7,2017,C,Y,416,1624216,3904
91906,7,2017,I,Y,0,0,0
91906,7,2017,R,Y,2000,1595918,798
91910,7,2017,A,Y,0,0,0
91910,7,2017,C,Y,1648,13079806,7937
91910,7,2017,I,Y,0,0,0
91910,7,2017,R,Y,26089,10898632,418
91911,7,2017,A,Y,0,0,0
91911,7,2017,C,Y,2102,14525545,6910
91911,7,2017,I,Y,0,0,0
91911,7,2017,R,Y,24087,10163110,422
91912,7,2017,A,Y,0,0,0
91912,7,2017,C,Y,0,0,0
91912,7,2017,I,Y,0,0,0
91912,7,2017,R,Y,0,0,0
91913,7,2017,A,Y,0,0,0
91913,7,2017,C,Y,0,0,0
91913,7,2017,I,Y,0,0,0
91913,7,2017,R,N,15218,10310391,678
91914,7,2017,A,Y,0,0,0
91914,7,2017,C,N,465,3136916,6746
91914,7,2017,I,Y,0,0,0
91914,7,2017,R,N,5148,3317699,644
91915,7,2017,A,Y,0,0,0
91915,7,2017,C,Y,327,3851588,11779
91915,7,2017,I,Y,0,0,0
91915,7,2017,R,Y,9512,5650808,594
91916,7,2017,A,Y,0,0,0
91916,7,2017,C,Y,0,0,0
91916,7,2017,I,Y,0,0,0
91916,7,2017,R,Y,0,0,0
91917,7,2017,A,Y,0,0,0
91917,7,2017,C,Y,0,0,0
91917,7,2017,I,Y,0,0,0
91917,7,2017,R,N,223,194396,872
91931,7,2017,A,Y,0,0,0
91931,7,2017,C,Y,0,0,0
91931,7,2017,I,Y,0,0,0
91931,7,2017,R,Y,0,0,0
91932,7,2017,A,Y,0,0,0
91932,7,2017,C,N,402,1802261,4483
91932,7,2017,I,Y,0,0,0
91932,7,2017,R,N,10275,3452214,336
91934,7,2017,A,Y,0,0,0
91934,7,2017,C,Y,0,0,0
91934,7,2017,I,Y,0,0,0
91934,7,2017,R,Y,0,0,0
91935,7,2017,A,Y,0,0,0
