ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
91901,10,2021,C,Y,0,0,0
91901,10,2021,R,Y,2174,49971,23
91902,10,2021,C,Y,0,0,0
91902,10,2021,R,N,4992,112019,22
91905,10,2021,C,Y,0,0,0
91905,10,2021,R,Y,0,0,0
91906,10,2021,C,Y,0,0,0
91906,10,2021,R,Y,0,0,0
91910,10,2021,C,Y,0,0,0
91910,10,2021,R,Y,19998,384408,19
91911,10,2021,C,Y,429,162448,379
91911,10,2021,R,Y,16210,352398,22
91912,10,2021,C,Y,0,0,0
91912,10,2021,R,Y,0,0,0
91913,10,2021,C,N,78,28584,366
91913,10,2021,R,N,16703,293437,18
91914,10,2021,C,Y,0,0,0
91914,10,2021,R,N,4990,111436,22
91915,10,2021,C,Y,0,0,0
91915,10,2021,R,N,10060,174365,17
91916,10,2021,C,Y,0,0,0
91916,10,2021,R,Y,0,0,0
91917,10,2021,C,Y,0,0,0
91917,10,2021,R,Y,0,0,0
91931,10,2021,C,Y,0,0,0
91931,10,2021,R,Y,0,0,0
91932,10,2021,C,N,141,32382,230
91932,10,2021,R,N,7798,142204,18
91934,10,2021,C,Y,0,0,0
91934,10,2021,R,Y,0,0,0
91935,10,2021,C,Y,0,0,0
91935,10,2021,R,N,205,7846,38
91941,10,2021,C,Y,0,0,0
91941,10,2021,R,N,10414,231471,22
91942,10,2021,C,N,559,138076,247
91942,10,2021,R,N,10260,231072,23
91945,10,2021,C,N,263,44033,167
91945,10,2021,R,N,7444,133579,18
91948,10,2021,C,Y,0,0,0
91948,10,2021,R,Y,0,0,0
91950,10,2021,C,Y,1295,389741,301
91950,10,2021,R,Y,11152,213617,19
91962,10,2021,C,Y,0,0,0
91962,10,2021,R,Y,0,0,0
91963,10,2021,C,Y,0,0,0
91963,10,2021,R,Y,0,0,0
91977,10,2021,C,N,273,48699,178
91977,10,2021,R,N,14666,290142,20
91978,10,2021,C,Y,0,0,0
91978,10,2021,R,N,2269,46639,21
91980,10,2021,C,Y,0,0,0
91980,10,2021,R,Y,0,0,0
92003,10,2021,C,Y,0,0,0
92003,10,2021,R,N,265,6578,25
92004,10,2021,C,Y,0,0,0
92004,10,2021,R,Y,268,3884,14
92007,10,2021,C,Y,0,0,0
92007,10,2021,R,N,3903,83449,21
92008,10,2021,C,N,482,271323,563
92008,10,2021,R,N,9621,226015,23
92009,10,2021,C,N,209,169039,809
92009,10,2021,R,N,14946,385327,26
92010,10,2021,C,Y,0,0,0
92010,10,2021,R,N,6320,115204,18
92011,10,2021,C,N,180,104780,582
92011,10,2021,R,N,8537,190120,22
92014,10,2021,C,N,142,63346,446
92014,10,2021,R,N,5183,152859,29
92019,10,2021,C,N,168,72876,434
92019,10,2021,R,N,11487,252575,22
92020,10,2021,C,N,751,183654,245
92020,10,2021,R,N,13185,332133,25
92021,10,2021,C,N,446,122385,274
92021,10,2021,R,N,13685,331199,24
92024,10,2021,C,Y,709,247017,348
92024,10,2021,R,Y,15797,390461,25
92025,10,2021,C,Y,0,0,0
92025,10,2021,R,N,11033,246402,22
92026,10,2021,C,Y,134,40239,300
92026,10,2021,R,Y,10021,213348,21
92027,10,2021,C,Y,198,59736,302
92027,10,2021,R,Y,12374,265269,21
92028,10,2021,C,Y,0,0,0
92028,10,2021,R,Y,8946,205849,23
92029,10,2021,C,Y,0,0,0
92029,10,2021,R,N,5847,135235,23
92036,10,2021,C,Y,0,0,0
92036,10,2021,R,Y,0,0,0
92037,10,2021,C,Y,0,0,0
92037,10,2021,R,Y,13873,446358,32
92040,10,2021,C,N,179,28827,161
92040,10,2021,R,N,8810,183229,21
92045,10,2021,C,Y,0,0,0
92045,10,2021,R,Y,0,0,0
92049,10,2021,C,Y,0,0,0
92049,10,2021,R,Y,0,0,0
92054,10,2021,C,Y,628,190806,304
92054,10,2021,R,Y,11101,263952,24
