,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016,KCZZ 12/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,M,M,33,65,19,1991,80,1995,M,0.06,1.09,1982,
3,2,M,M,33,65,21,1991,75,2010,M,0.05,1.21,1955,
4,3,M,M,33,64,22,1978,82,1986,M,0.06,1.18,2014,
5,4,M,M,33,64,22,1967,82,2007,M,0.07,0.81,1974,
6,5,M,M,33,64,21,2011,86,1989,M,0.06,1.09,1951,
7,6,M,M,33,64,20,1978,80,2015,M,0.07,0.89,1997,
8,7,M,M,33,63,14,1978,82,1970,M,0.06,1.95,2009,
9,8,M,M,33,63,17,1978,82,2015,M,0.07,0.72,1997,
10,9,M,M,32,63,17,1960,81,1981,M,0.08,0.74,1972,
11,10,M,M,32,63,19,1960,83,1995,M,0.07,1.05,1991,
12,11,M,M,32,63,22,1999,86,1950,M,0.07,1.13,1985,
13,12,M,M,32,63,21,1985,81,1950,M,0.07,0.83,1951,
14,13,M,M,32,63,20,1979,80,1988,M,0.06,0.71,2012,
15,14,M,M,32,63,18,1987,77,2006,M,0.07,0.46,1965,
16,15,M,M,32,62,19,1987,80,1969,M,0.08,1.77,2008,
17,16,M,M,32,62,20,2005,76,2013,M,0.07,0.61,1965,
18,17,M,M,32,62,17,1990,81,1980,M,0.06,2.24,1978,
19,18,M,M,32,62,20,1990,79,1979,M,0.08,0.76,1978,
20,19,M,M,32,62,18,1968,82,1960,M,0.07,2.37,1967,
21,20,M,M,32,62,18,1992,77,2005,M,0.07,1.16,1951,
22,21,M,M,32,62,15,1968,79,2000,M,0.07,1.00,1970,
23,22,M,M,33,62,20,1998,76,1980,M,0.08,2.42,2010,
24,23,M,M,33,62,20,1979,76,2005,M,0.08,1.07,1948,
25,24,M,M,33,62,19,1976,78,1960,M,0.08,1.16,1959,
26,25,M,M,33,62,15,1987,75,1985,M,0.09,1.11,1988,
27,26,M,M,33,62,12,1974,78,1980,M,0.08,1.05,1968,
28,27,M,M,33,62,20,1988,82,1980,M,0.09,1.12,1984,
29,28,M,M,33,62,19,2015,81,1998,M,0.08,2.21,1983,
30,29,M,M,33,62,16,1954,82,1998,M,0.09,1.08,2004,
31,30,M,M,33,62,14,1969,78,1998,M,0.09,1.06,1951,
32,31,M,M,33,62,17,1972,78,2000,M,0.09,2.37,1951,
33,Average:,,,32.6,62.7,,,,,Total: 0.00,Total: 2.27,,,
