,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016,KCZZ 03/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,38,81,36,65,21,1956,84,1967,0.00,0.11,3.72,1991,
3,2,37,78,36,66,18,1977,84,1999,0.00,0.11,2.91,1983,
4,3,37,77,36,66,18,1977,80,1972,0.00,0.11,1.27,1983,
5,4,29,73,36,66,22,1977,82,1972,0.00,0.11,0.74,1983,
6,5,33,70,36,66,20,1974,85,1986,0.00,0.11,1.85,1995,
7,6,43,56,36,66,21,1977,84,1972,0.06,0.11,1.58,1995,
8,7,38,47,36,66,16,1977,83,1989,0.44,0.10,0.91,2010,
9,8,31,61,36,66,21,1964,84,1972,0.00,0.11,1.54,1968,
10,9,31,74,36,66,21,1964,86,1972,0.00,0.10,0.43,1986,
11,10,39,77,36,66,23,1971,84,1972,0.00,0.10,0.89,2006,
12,11,40,64,36,67,24,2009,86,1997,0.09,0.10,1.69,1952,
13,12,42,56,36,67,23,1977,85,1972,0.00,0.11,0.68,1973,
14,13,32,60,36,67,19,1956,85,1997,0.00,0.10,1.49,1996,
15,14,45,60,36,67,20,1956,84,2013,0.00,0.10,0.57,1975,
16,15,35,76,36,67,15,1977,83,2007,0.00,0.09,1.05,2003,
17,16,42,77,36,67,20,1954,89,2007,0.00,0.09,1.34,1952,
18,17,38,79,36,67,25,1955,85,1974,0.00,0.08,1.19,1963,
19,18,37,78,36,67,22,1977,84,2004,0.00,0.07,0.76,1983,
20,19,36,77,36,67,22,1956,87,1997,0.00,0.08,1.48,1991,
21,20,35,79,36,68,24,2000,92,1997,0.00,0.08,0.97,1991,
22,21,32,72,36,68,20,1955,87,2004,0.00,0.07,1.25,1991,
23,22,34,59,36,68,25,2006,88,2004,0.00,0.08,1.54,1954,
24,23,30,66,36,68,24,1973,85,1990,0.00,0.07,1.19,1954,
25,24,35,76,36,68,24,1957,84,1956,0.00,0.07,0.99,1983,
26,25,33,76,36,68,25,1959,81,1988,0.00,0.07,1.13,1950,
27,26,33,75,36,68,24,1964,86,1988,0.00,0.06,1.32,1991,
28,27,36,75,36,68,24,1975,87,2015,0.00,0.07,1.36,1991,
29,28,42,56,36,69,20,1972,86,2015,0.01,0.06,1.33,1998,
30,29,38,53,36,69,19,1972,84,1971,0.11,0.06,1.09,1998,
31,30,33,54,36,69,21,1967,84,2015,0.01,0.06,0.58,1954,
32,31,30,64,36,69,21,1977,87,1989,0.00,0.05,0.48,1996,
33,Average:,35.9,68.6,36.0,67.2,,,,,Total: 0.72,Total: 2.69,,,
