,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020,KCZZ 02/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,42,72,35,63,18,1959,81,2018,0.00,0.10,0.90,1996,
3,2,37,72,35,63,20,2014,79,1995,0.00,0.11,1.41,1960,
4,3,39,52,35,63,18,1955,79,2018,0.02,0.10,0.90,1988,
5,4,24,49,35,63,18,1955,83,1963,0.00,0.10,1.39,1998,
6,5,23,57,35,63,17,1955,85,1963,0.00,0.10,1.35,1976,
7,6,27,63,35,63,19,1955,83,1963,0.00,0.11,1.52,1976,
8,7,28,74,35,63,21,1974,83,1963,0.00,0.10,1.19,1992,
9,8,30,72,35,63,24,2002,84,1996,0.00,0.11,2.07,1993,
10,9,30,51,35,64,21,1956,82,1951,0.23,0.11,1.79,1981,
11,10,39,49,35,64,19,1953,80,1951,0.29,0.10,1.86,1963,
12,11,29,57,35,64,20,1953,81,1971,0.00,0.11,1.09,1973,
13,12,27,61,35,64,19,1953,83,2016,0.00,0.11,1.04,2003,
14,13,29,66,35,64,19,1964,85,1971,0.00,0.12,1.95,1992,
15,14,28,67,35,64,18,1974,86,2014,0.00,0.11,2.48,2019,
16,15,26,68,35,64,13,1990,85,2014,0.00,0.13,2.04,1986,
17,16,30,71,35,64,16,1990,83,2016,0.00,0.13,1.26,1959,
18,17,33,72,35,64,20,1956,85,1977,0.00,0.13,1.10,1980,
19,18,36,73,35,64,21,1953,82,1977,0.00,0.13,2.72,1980,
20,19,35,69,35,64,16,1953,85,1995,0.00,0.13,2.20,2011,
21,20,36,70,35,64,14,1953,83,1977,0.00,0.13,1.01,1980,
22,21,41,77,35,65,18,2018,80,1982,0.00,0.13,0.94,1980,
23,22,40,53,35,65,19,1967,80,1983,0.28,0.13,1.80,2004,
24,23,37,60,35,65,12,1953,86,1989,0.02,0.12,0.84,1953,
25,24,32,76,35,65,16,2018,85,1989,0.00,0.12,1.10,1998,
26,25,38,69,35,65,20,1960,84,1968,0.00,0.11,0.85,2003,
27,26,49,62,35,65,21,1977,85,1986,0.00,0.12,1.29,2011,
28,27,51,70,35,65,19,1964,85,1986,0.00,0.12,2.30,2017,
29,28,40,78,36,65,19,1964,83,1999,0.00,0.11,1.79,1991,
30,29,32,66,36,65,23,2012,82,2016,0.00,0.11,0.93,1960,
31,Average:,34.1,65.4,35.1,64.0,,,,,Total: 0.84,Total: 3.34,,,
