,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012,KCRQ 01/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,46,72,47,64,M,M,M,M,0.00,0.10,M,M,
3,2,42,71,47,64,M,M,M,M,0.00,0.11,M,M,
4,3,48,72,47,64,M,M,M,M,0.00,0.10,M,M,
5,4,52,80,47,64,M,M,M,M,0.00,0.10,M,M,
6,5,55,81,47,64,M,M,M,M,0.00,0.10,M,M,
7,6,49,69,47,64,M,M,M,M,0.00,0.09,M,M,
8,7,48,59,47,64,M,M,M,M,0.00,0.10,M,M,
9,8,42,69,47,64,M,M,M,M,0.00,0.10,M,M,
10,9,45,72,47,64,M,M,M,M,0.00,0.09,M,M,
11,10,48,67,47,64,M,M,M,M,0.00,0.10,M,M,
12,11,48,65,47,64,M,M,M,M,0.00,0.09,M,M,
13,12,50,70,47,64,M,M,M,M,0.00,0.10,M,M,
14,13,45,79,47,64,M,M,M,M,0.00,0.09,M,M,
15,14,46,70,47,64,M,M,M,M,0.00,0.09,M,M,
16,15,48,63,47,64,M,M,M,M,0.07,0.09,M,M,
17,16,47,55,47,64,M,M,M,M,0.18,0.10,M,M,
18,17,45,58,47,64,M,M,M,M,0.00,0.09,M,M,
19,18,41,59,47,64,M,M,M,M,0.00,0.08,M,M,
20,19,41,60,47,64,M,M,M,M,0.00,0.08,M,M,
21,20,46,60,47,64,M,M,M,M,0.00,0.07,M,M,
22,21,48,60,47,64,M,M,M,M,0.22,0.08,M,M,
23,22,46,59,47,64,M,M,M,M,0.00,0.08,M,M,
24,23,48,58,47,64,M,M,M,M,0.26,0.06,M,M,
25,24,46,65,47,64,M,M,M,M,0.00,0.05,M,M,
26,25,49,75,47,64,M,M,M,M,0.00,0.05,M,M,
27,26,51,76,47,64,M,M,M,M,0.00,0.02,M,M,
28,27,50,81,47,64,M,M,M,M,0.00,0.03,M,M,
29,28,54,79,47,64,M,M,M,M,0.00,0.05,M,M,
30,29,49,74,47,64,M,M,M,M,0.00,0.06,M,M,
31,30,48,66,47,64,M,M,M,M,0.00,0.08,M,M,
32,31,46,61,47,64,M,M,M,M,0.00,0.08,M,M,
33,Average:,47.3,67.9,47.0,64.0,,,,,Total: 0.73,Total: 2.51,,,
