,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012,KCRQ 06/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,68,58,68,M,M,M,M,0.00,0.01,M,M,
3,2,60,68,58,68,M,M,M,M,0.00,0.00,M,M,
4,3,61,67,58,69,M,M,M,M,0.00,0.01,M,M,
5,4,62,65,58,69,M,M,M,M,T,0.00,M,M,
6,5,58,70,58,69,M,M,M,M,0.00,0.01,M,M,
7,6,57,70,59,69,M,M,M,M,0.00,0.00,M,M,
8,7,58,70,59,69,M,M,M,M,0.00,0.01,M,M,
9,8,59,68,59,69,M,M,M,M,0.00,0.00,M,M,
10,9,59,67,59,69,M,M,M,M,0.00,0.01,M,M,
11,10,59,67,59,69,M,M,M,M,0.00,0.00,M,M,
12,11,60,66,59,70,M,M,M,M,0.00,0.01,M,M,
13,12,59,66,59,70,M,M,M,M,0.00,0.00,M,M,
14,13,59,65,59,70,M,M,M,M,0.00,0.00,M,M,
15,14,60,66,59,70,M,M,M,M,0.00,0.00,M,M,
16,15,60,65,59,70,M,M,M,M,0.00,0.01,M,M,
17,16,62,68,59,70,M,M,M,M,0.00,0.00,M,M,
18,17,58,71,60,71,M,M,M,M,0.00,0.00,M,M,
19,18,62,69,60,71,M,M,M,M,0.00,0.00,M,M,
20,19,61,69,60,71,M,M,M,M,0.00,0.01,M,M,
21,20,61,67,60,71,M,M,M,M,0.00,0.00,M,M,
22,21,60,69,60,71,M,M,M,M,0.00,0.00,M,M,
23,22,62,70,60,71,M,M,M,M,0.00,0.00,M,M,
24,23,62,69,60,71,M,M,M,M,0.00,0.01,M,M,
25,24,62,71,61,71,M,M,M,M,0.00,0.00,M,M,
26,25,60,71,61,72,M,M,M,M,0.00,0.00,M,M,
27,26,56,74,61,72,M,M,M,M,0.00,0.01,M,M,
28,27,60,71,61,72,M,M,M,M,0.00,0.00,M,M,
29,28,60,70,61,72,M,M,M,M,0.00,0.00,M,M,
30,29,60,72,61,72,M,M,M,M,0.00,0.01,M,M,
31,30,63,70,61,72,M,M,M,M,0.00,0.00,M,M,
32,Average:,60.0,68.6,59.5,70.3,,,,,Total: 0.00,Total: 0.11,,,
