,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012,KCRQ 11/2012
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,60,68,55,71,M,M,M,M,0.00,0.07,M,M,
3,2,57,67,55,71,M,M,M,M,0.00,0.05,M,M,
4,3,54,72,54,71,M,M,M,M,0.00,0.06,M,M,
5,4,56,87,54,70,M,M,M,M,0.01,0.04,M,M,
6,5,63,91,54,70,M,M,M,M,0.00,0.04,M,M,
7,6,57,75,54,70,M,M,M,M,0.00,0.04,M,M,
8,7,53,67,53,70,M,M,M,M,0.00,0.04,M,M,
9,8,59,66,53,70,M,M,M,M,0.07,0.04,M,M,
10,9,55,63,53,70,M,M,M,M,0.06,0.04,M,M,
11,10,49,62,53,69,M,M,M,M,T,0.05,M,M,
12,11,45,63,52,69,M,M,M,M,0.00,0.03,M,M,
13,12,48,73,52,69,M,M,M,M,0.00,0.03,M,M,
14,13,48,75,52,69,M,M,M,M,0.00,0.04,M,M,
15,14,49,72,52,69,M,M,M,M,0.00,0.03,M,M,
16,15,56,69,51,68,M,M,M,M,0.00,0.03,M,M,
17,16,55,71,51,68,M,M,M,M,T,0.04,M,M,
18,17,59,70,51,68,M,M,M,M,0.03,0.03,M,M,
19,18,55,67,51,68,M,M,M,M,0.00,0.04,M,M,
20,19,52,68,50,67,M,M,M,M,0.01,0.03,M,M,
21,20,50,66,50,67,M,M,M,M,0.01,0.04,M,M,
22,21,52,65,50,67,M,M,M,M,0.01,0.04,M,M,
23,22,52,64,50,67,M,M,M,M,0.01,0.03,M,M,
24,23,52,64,49,67,M,M,M,M,0.00,0.04,M,M,
25,24,49,72,49,66,M,M,M,M,0.00,0.03,M,M,
26,25,52,61,49,66,M,M,M,M,0.00,0.03,M,M,
27,26,53,63,49,66,M,M,M,M,0.00,0.03,M,M,
28,27,50,65,49,66,M,M,M,M,0.01,0.03,M,M,
29,28,57,66,48,66,M,M,M,M,0.00,0.03,M,M,
30,29,58,69,48,65,M,M,M,M,0.08,0.02,M,M,
31,30,61,67,48,65,M,M,M,M,0.28,0.03,M,M,
32,Average:,53.9,68.9,51.3,68.2,,,,,Total: 0.58,Total: 1.12,,,
