,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013,KCRQ 08/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,64,72,65,74,M,M,M,M,0.00,0.00,M,M,
3,2,65,72,65,74,M,M,M,M,0.00,0.00,M,M,
4,3,64,71,65,74,M,M,M,M,0.00,0.00,M,M,
5,4,64,72,65,74,M,M,M,M,0.00,0.00,M,M,
6,5,64,71,65,74,M,M,M,M,0.00,0.00,M,M,
7,6,64,70,65,74,M,M,M,M,0.00,0.00,M,M,
8,7,65,72,65,75,M,M,M,M,0.00,0.00,M,M,
9,8,63,72,65,75,M,M,M,M,0.00,0.01,M,M,
10,9,62,71,65,75,M,M,M,M,0.00,0.00,M,M,
11,10,62,69,65,75,M,M,M,M,0.00,0.00,M,M,
12,11,62,71,65,75,M,M,M,M,0.00,0.00,M,M,
13,12,63,71,65,75,M,M,M,M,0.00,0.00,M,M,
14,13,62,72,65,75,M,M,M,M,0.00,0.01,M,M,
15,14,64,70,65,75,M,M,M,M,0.00,0.00,M,M,
16,15,64,71,65,75,M,M,M,M,0.00,0.00,M,M,
17,16,65,75,65,75,M,M,M,M,0.00,0.01,M,M,
18,17,65,75,65,75,M,M,M,M,0.00,0.00,M,M,
19,18,64,73,65,75,M,M,M,M,0.00,0.00,M,M,
20,19,65,74,65,75,M,M,M,M,0.00,0.01,M,M,
21,20,65,73,65,75,M,M,M,M,0.00,0.00,M,M,
22,21,64,75,65,75,M,M,M,M,0.00,0.01,M,M,
23,22,64,77,65,75,M,M,M,M,0.00,0.00,M,M,
24,23,66,77,65,76,M,M,M,M,0.00,0.01,M,M,
25,24,65,73,65,76,M,M,M,M,0.00,0.00,M,M,
26,25,62,76,65,76,M,M,M,M,0.00,0.00,M,M,
27,26,67,80,65,76,M,M,M,M,T,0.01,M,M,
28,27,69,79,65,76,M,M,M,M,0.00,0.00,M,M,
29,28,68,81,65,76,M,M,M,M,0.00,0.01,M,M,
30,29,70,84,64,76,M,M,M,M,0.01,0.00,M,M,
31,30,75,91,64,76,M,M,M,M,0.00,0.01,M,M,
32,31,74,83,64,76,M,M,M,M,0.00,0.00,M,M,
33,Average:,65.2,74.6,64.9,75.1,,,,,Total: 0.01,Total: 0.09,,,
