,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013,KCRQ 12/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,79,48,65,M,M,M,M,0.00,0.03,M,M,
3,2,51,72,48,65,M,M,M,M,0.00,0.03,M,M,
4,3,49,62,47,65,M,M,M,M,T,0.03,M,M,
5,4,49,59,47,65,M,M,M,M,0.00,0.03,M,M,
6,5,45,58,47,65,M,M,M,M,0.00,0.03,M,M,
7,6,46,59,47,64,M,M,M,M,0.00,0.04,M,M,
8,7,47,58,47,64,M,M,M,M,0.17,0.04,M,M,
9,8,44,54,47,64,M,M,M,M,0.00,0.04,M,M,
10,9,40,62,47,64,M,M,M,M,0.00,0.03,M,M,
11,10,40,65,47,64,M,M,M,M,0.00,0.03,M,M,
12,11,48,69,46,64,M,M,M,M,0.00,0.03,M,M,
13,12,46,66,46,64,M,M,M,M,0.00,0.04,M,M,
14,13,41,61,46,64,M,M,M,M,0.00,0.03,M,M,
15,14,41,70,46,64,M,M,M,M,0.00,0.04,M,M,
16,15,48,70,46,64,M,M,M,M,0.00,0.04,M,M,
17,16,54,83,46,64,M,M,M,M,0.00,0.05,M,M,
18,17,54,77,46,64,M,M,M,M,0.00,0.04,M,M,
19,18,55,68,46,64,M,M,M,M,0.00,0.05,M,M,
20,19,45,56,46,63,M,M,M,M,0.12,0.04,M,M,
21,20,43,59,46,63,M,M,M,M,0.00,0.06,M,M,
22,21,46,59,46,63,M,M,M,M,0.00,0.06,M,M,
23,22,44,65,46,63,M,M,M,M,0.00,0.06,M,M,
24,23,47,73,46,63,M,M,M,M,0.00,0.06,M,M,
25,24,49,71,46,63,M,M,M,M,0.00,0.07,M,M,
26,25,51,83,46,63,M,M,M,M,0.00,0.07,M,M,
27,26,50,80,46,63,M,M,M,M,0.00,0.09,M,M,
28,27,47,74,46,63,M,M,M,M,0.00,0.10,M,M,
29,28,47,73,46,63,M,M,M,M,0.00,0.11,M,M,
30,29,42,69,46,64,M,M,M,M,0.00,0.12,M,M,
31,30,44,73,46,64,M,M,M,M,0.00,0.11,M,M,
32,31,44,65,47,64,M,M,M,M,0.00,0.11,M,M,
33,Average:,46.8,67.5,46.4,63.8,,,,,Total: 0.29,Total: 1.71,,,
