,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013,KCRQ 03/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,85,49,64,M,M,M,M,0.00,0.11,M,M,
3,2,56,79,49,64,M,M,M,M,0.00,0.12,M,M,
4,3,54,70,49,64,M,M,M,M,0.00,0.12,M,M,
5,4,54,62,49,64,M,M,M,M,0.00,0.11,M,M,
6,5,54,61,49,63,M,M,M,M,0.00,0.10,M,M,
7,6,53,60,50,63,M,M,M,M,0.00,0.10,M,M,
8,7,51,59,50,63,M,M,M,M,0.15,0.10,M,M,
9,8,49,56,50,63,M,M,M,M,0.96,0.09,M,M,
10,9,50,59,50,63,M,M,M,M,0.04,0.08,M,M,
11,10,46,66,50,64,M,M,M,M,0.00,0.07,M,M,
12,11,49,66,50,64,M,M,M,M,0.00,0.07,M,M,
13,12,46,67,50,64,M,M,M,M,0.00,0.05,M,M,
14,13,49,68,50,64,M,M,M,M,0.01,0.03,M,M,
15,14,49,64,50,64,M,M,M,M,0.00,0.02,M,M,
16,15,51,70,50,64,M,M,M,M,0.00,0.03,M,M,
17,16,52,60,50,64,M,M,M,M,0.00,0.02,M,M,
18,17,55,62,50,64,M,M,M,M,0.00,0.02,M,M,
19,18,55,62,50,64,M,M,M,M,0.00,0.03,M,M,
20,19,56,64,50,64,M,M,M,M,0.00,0.03,M,M,
21,20,54,66,50,64,M,M,M,M,0.00,0.04,M,M,
22,21,54,67,50,64,M,M,M,M,0.00,0.02,M,M,
23,22,54,63,50,64,M,M,M,M,0.00,0.03,M,M,
24,23,53,64,50,64,M,M,M,M,0.00,0.02,M,M,
25,24,49,65,50,64,M,M,M,M,0.00,0.04,M,M,
26,25,53,65,51,64,M,M,M,M,0.00,0.02,M,M,
27,26,55,64,51,64,M,M,M,M,0.00,0.04,M,M,
28,27,56,63,51,64,M,M,M,M,0.00,0.03,M,M,
29,28,53,66,51,64,M,M,M,M,0.00,0.03,M,M,
30,29,57,64,51,64,M,M,M,M,0.00,0.03,M,M,
31,30,56,66,51,64,M,M,M,M,0.00,0.03,M,M,
32,31,55,68,51,64,M,M,M,M,T,0.05,M,M,
33,Average:,52.6,65.2,50.1,63.8,,,,,Total: 1.16,Total: 1.68,,,
