,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014,KCRQ 02/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,63,47,64,M,M,M,M,0.00,0.05,M,M,
3,2,44,61,47,64,M,M,M,M,T,0.05,M,M,
4,3,48,58,47,64,M,M,M,M,0.03,0.05,M,M,
5,4,48,60,47,64,M,M,M,M,T,0.06,M,M,
6,5,47,62,47,64,M,M,M,M,0.00,0.06,M,M,
7,6,51,61,48,64,M,M,M,M,0.14,0.06,M,M,
8,7,52,61,48,64,M,M,M,M,0.07,0.07,M,M,
9,8,48,63,48,64,M,M,M,M,0.00,0.07,M,M,
10,9,51,62,48,64,M,M,M,M,0.00,0.08,M,M,
11,10,53,63,48,64,M,M,M,M,0.00,0.08,M,M,
12,11,49,65,48,64,M,M,M,M,0.00,0.09,M,M,
13,12,49,74,48,64,M,M,M,M,0.00,0.10,M,M,
14,13,51,74,48,64,M,M,M,M,0.00,0.11,M,M,
15,14,50,72,48,64,M,M,M,M,0.00,0.10,M,M,
16,15,50,74,48,64,M,M,M,M,0.00,0.11,M,M,
17,16,50,71,48,64,M,M,M,M,0.00,0.10,M,M,
18,17,48,63,48,64,M,M,M,M,0.00,0.10,M,M,
19,18,54,62,48,64,M,M,M,M,0.00,0.11,M,M,
20,19,52,62,48,64,M,M,M,M,0.00,0.10,M,M,
21,20,48,73,48,64,M,M,M,M,0.00,0.10,M,M,
22,21,51,73,48,64,M,M,M,M,0.00,0.11,M,M,
23,22,52,68,49,64,M,M,M,M,0.00,0.11,M,M,
24,23,47,66,49,64,M,M,M,M,0.00,0.10,M,M,
25,24,47,65,49,64,M,M,M,M,0.00,0.11,M,M,
26,25,56,64,49,64,M,M,M,M,0.00,0.11,M,M,
27,26,57,65,49,64,M,M,M,M,0.00,0.09,M,M,
28,27,56,66,49,64,M,M,M,M,0.18,0.08,M,M,
29,28,54,65,49,64,M,M,M,M,0.92,0.08,M,M,
30,Average:,50.3,65.6,48.1,64.0,,,,,Total: 1.34,Total: 2.44,,,
