,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015,KCRQ 12/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,66,48,65,M,M,M,M,0.00,0.03,M,M,
3,2,47,74,48,65,M,M,M,M,0.00,0.03,M,M,
4,3,51,73,47,65,M,M,M,M,0.00,0.03,M,M,
5,4,48,66,47,65,M,M,M,M,0.00,0.03,M,M,
6,5,48,71,47,65,M,M,M,M,0.00,0.03,M,M,
7,6,52,74,47,64,M,M,M,M,0.00,0.04,M,M,
8,7,50,72,47,64,M,M,M,M,0.00,0.04,M,M,
9,8,51,73,47,64,M,M,M,M,0.00,0.04,M,M,
10,9,51,72,47,64,M,M,M,M,0.00,0.03,M,M,
11,10,51,64,47,64,M,M,M,M,0.01,0.03,M,M,
12,11,50,62,46,64,M,M,M,M,0.09,0.03,M,M,
13,12,44,62,46,64,M,M,M,M,0.00,0.04,M,M,
14,13,48,65,46,64,M,M,M,M,0.10,0.03,M,M,
15,14,45,58,46,64,M,M,M,M,0.00,0.04,M,M,
16,15,41,61,46,64,M,M,M,M,0.00,0.04,M,M,
17,16,41,60,46,64,M,M,M,M,0.00,0.05,M,M,
18,17,41,63,46,64,M,M,M,M,0.00,0.04,M,M,
19,18,44,68,46,64,M,M,M,M,0.00,0.05,M,M,
20,19,46,63,46,63,M,M,M,M,0.18,0.04,M,M,
21,20,49,60,46,63,M,M,M,M,0.00,0.06,M,M,
22,21,45,62,46,63,M,M,M,M,0.05,0.06,M,M,
23,22,53,61,46,63,M,M,M,M,0.28,0.06,M,M,
24,23,51,62,46,63,M,M,M,M,0.06,0.06,M,M,
25,24,51,63,46,63,M,M,M,M,T,0.07,M,M,
26,25,46,58,46,63,M,M,M,M,0.00,0.07,M,M,
27,26,45,62,46,63,M,M,M,M,0.00,0.09,M,M,
28,27,39,60,46,63,M,M,M,M,0.00,0.10,M,M,
29,28,42,57,46,63,M,M,M,M,0.04,0.11,M,M,
30,29,38,58,46,64,M,M,M,M,0.00,0.12,M,M,
31,30,41,60,46,64,M,M,M,M,0.00,0.11,M,M,
32,31,42,62,47,64,M,M,M,M,0.00,0.11,M,M,
33,Average:,46.3,64.3,46.4,63.8,,,,,Total: 0.81,Total: 1.71,,,
