,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017,KCRQ 04/2017
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,49,67,51,65,M,M,M,M,0.00,0.04,M,M,
3,2,53,71,51,65,M,M,M,M,0.00,0.04,M,M,
4,3,57,63,51,65,M,M,M,M,0.00,0.04,M,M,
5,4,57,66,51,65,M,M,M,M,0.00,0.05,M,M,
6,5,53,74,51,65,M,M,M,M,0.00,0.04,M,M,
7,6,54,72,51,65,M,M,M,M,0.00,0.03,M,M,
8,7,55,69,51,65,M,M,M,M,0.00,0.04,M,M,
9,8,54,66,51,65,M,M,M,M,0.01,0.04,M,M,
10,9,50,64,52,65,M,M,M,M,0.00,0.04,M,M,
11,10,50,69,52,65,M,M,M,M,0.00,0.04,M,M,
12,11,52,71,52,65,M,M,M,M,0.00,0.04,M,M,
13,12,52,67,52,66,M,M,M,M,0.00,0.04,M,M,
14,13,56,70,52,66,M,M,M,M,0.00,0.04,M,M,
15,14,51,64,52,66,M,M,M,M,0.00,0.04,M,M,
16,15,51,69,52,66,M,M,M,M,0.00,0.04,M,M,
17,16,53,69,52,66,M,M,M,M,0.00,0.04,M,M,
18,17,54,68,53,66,M,M,M,M,0.00,0.03,M,M,
19,18,59,69,53,66,M,M,M,M,0.00,0.03,M,M,
20,19,58,69,53,66,M,M,M,M,0.02,0.03,M,M,
21,20,53,68,53,66,M,M,M,M,0.00,0.04,M,M,
22,21,55,76,53,66,M,M,M,M,0.00,0.03,M,M,
23,22,58,82,53,66,M,M,M,M,0.00,0.03,M,M,
24,23,58,71,54,66,M,M,M,M,0.00,0.03,M,M,
25,24,60,67,54,66,M,M,M,M,0.00,0.03,M,M,
26,25,59,68,54,66,M,M,M,M,0.00,0.03,M,M,
27,26,55,71,54,67,M,M,M,M,0.00,0.02,M,M,
28,27,59,67,54,67,M,M,M,M,0.00,0.03,M,M,
29,28,57,71,54,67,M,M,M,M,0.00,0.03,M,M,
30,29,58,81,55,67,M,M,M,M,0.00,0.01,M,M,
31,30,59,77,55,67,M,M,M,M,0.00,0.01,M,M,
32,Average:,55.0,69.9,52.5,65.8,,,,,Total: 0.03,Total: 1.02,,,
