,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017,KCRQ 09/2017
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,71,89,64,76,M,M,M,M,0.00,0.01,M,M,
3,2,71,91,64,76,M,M,M,M,0.00,0.01,M,M,
4,3,71,92,64,76,M,M,M,M,T,0.01,M,M,
5,4,69,75,64,75,M,M,M,M,T,0.00,M,M,
6,5,67,77,64,75,M,M,M,M,0.00,0.01,M,M,
7,6,68,77,64,75,M,M,M,M,0.00,0.01,M,M,
8,7,66,77,64,75,M,M,M,M,0.00,0.01,M,M,
9,8,68,74,64,75,M,M,M,M,T,0.02,M,M,
10,9,68,75,64,75,M,M,M,M,0.00,0.01,M,M,
11,10,66,77,64,75,M,M,M,M,0.00,0.01,M,M,
12,11,68,82,63,75,M,M,M,M,0.00,0.00,M,M,
13,12,68,74,63,75,M,M,M,M,0.00,0.01,M,M,
14,13,65,73,63,75,M,M,M,M,0.00,0.01,M,M,
15,14,66,74,63,75,M,M,M,M,0.00,0.01,M,M,
16,15,66,73,63,75,M,M,M,M,0.00,0.01,M,M,
17,16,66,72,63,75,M,M,M,M,0.00,0.00,M,M,
18,17,66,72,63,75,M,M,M,M,0.00,0.01,M,M,
19,18,65,74,63,74,M,M,M,M,0.00,0.01,M,M,
20,19,66,73,62,74,M,M,M,M,0.00,0.01,M,M,
21,20,67,73,62,74,M,M,M,M,0.00,0.00,M,M,
22,21,60,70,62,74,M,M,M,M,0.02,0.01,M,M,
23,22,58,71,62,74,M,M,M,M,0.00,0.01,M,M,
24,23,57,69,62,74,M,M,M,M,0.00,0.01,M,M,
25,24,56,75,62,74,M,M,M,M,0.00,0.00,M,M,
26,25,58,81,62,74,M,M,M,M,0.00,0.01,M,M,
27,26,59,78,61,74,M,M,M,M,0.00,0.01,M,M,
28,27,56,75,61,74,M,M,M,M,0.00,0.01,M,M,
29,28,58,75,61,74,M,M,M,M,0.00,0.00,M,M,
30,29,59,77,61,74,M,M,M,M,0.00,0.01,M,M,
31,30,63,73,61,74,M,M,M,M,0.00,0.01,M,M,
32,Average:,64.4,76.3,62.8,74.7,,,,,Total: 0.02,Total: 0.25,,,
