,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018,KCRQ 05/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,60,55,67,M,M,M,M,0.01,0.01,M,M,
3,2,52,61,55,67,M,M,M,M,0.04,0.01,M,M,
4,3,50,65,55,67,M,M,M,M,0.00,0.02,M,M,
5,4,54,75,55,67,M,M,M,M,0.00,0.01,M,M,
6,5,56,73,56,67,M,M,M,M,0.00,0.01,M,M,
7,6,56,71,56,67,M,M,M,M,0.00,0.00,M,M,
8,7,57,66,56,67,M,M,M,M,0.00,0.01,M,M,
9,8,54,67,56,67,M,M,M,M,0.00,0.01,M,M,
10,9,58,67,56,67,M,M,M,M,0.00,0.00,M,M,
11,10,59,67,56,67,M,M,M,M,0.00,0.01,M,M,
12,11,57,61,56,67,M,M,M,M,T,0.01,M,M,
13,12,54,63,57,67,M,M,M,M,0.01,0.00,M,M,
14,13,57,66,57,67,M,M,M,M,0.00,0.01,M,M,
15,14,55,65,57,67,M,M,M,M,0.00,0.00,M,M,
16,15,59,66,57,67,M,M,M,M,0.00,0.01,M,M,
17,16,56,67,57,67,M,M,M,M,0.00,0.00,M,M,
18,17,59,66,57,67,M,M,M,M,0.00,0.01,M,M,
19,18,58,64,57,67,M,M,M,M,0.00,0.00,M,M,
20,19,59,63,57,67,M,M,M,M,0.00,0.01,M,M,
21,20,58,62,57,67,M,M,M,M,0.02,0.00,M,M,
22,21,57,63,57,67,M,M,M,M,0.01,0.01,M,M,
23,22,58,64,58,67,M,M,M,M,0.00,0.00,M,M,
24,23,57,65,58,67,M,M,M,M,0.00,0.00,M,M,
25,24,57,63,58,68,M,M,M,M,0.03,0.00,M,M,
26,25,59,66,58,68,M,M,M,M,0.00,0.01,M,M,
27,26,56,65,58,68,M,M,M,M,0.00,0.00,M,M,
28,27,57,67,58,68,M,M,M,M,0.00,0.01,M,M,
29,28,60,67,58,68,M,M,M,M,0.00,0.00,M,M,
30,29,60,66,58,68,M,M,M,M,0.00,0.00,M,M,
31,30,58,67,58,68,M,M,M,M,0.00,0.01,M,M,
32,31,59,67,58,68,M,M,M,M,T,0.00,M,M,
33,Average:,56.7,65.6,56.8,67.3,,,,,Total: 0.12,Total: 0.18,,,
