,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019,KCRQ 07/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,63,73,62,72,M,M,M,M,0.00,0.01,M,M,
3,2,63,73,62,72,M,M,M,M,0.00,0.00,M,M,
4,3,64,71,62,72,M,M,M,M,0.00,0.01,M,M,
5,4,65,71,62,72,M,M,M,M,0.00,0.00,M,M,
6,5,65,72,62,73,M,M,M,M,0.00,0.01,M,M,
7,6,65,70,62,73,M,M,M,M,0.00,0.00,M,M,
8,7,64,71,62,73,M,M,M,M,0.00,0.01,M,M,
9,8,64,72,63,73,M,M,M,M,0.00,0.00,M,M,
10,9,66,74,63,73,M,M,M,M,0.00,0.00,M,M,
11,10,65,74,63,73,M,M,M,M,0.00,0.01,M,M,
12,11,66,75,63,73,M,M,M,M,0.00,0.00,M,M,
13,12,66,74,63,73,M,M,M,M,0.00,0.00,M,M,
14,13,65,74,63,73,M,M,M,M,0.00,0.01,M,M,
15,14,65,73,63,73,M,M,M,M,0.00,0.00,M,M,
16,15,65,75,64,73,M,M,M,M,0.00,0.01,M,M,
17,16,65,74,64,73,M,M,M,M,0.00,0.00,M,M,
18,17,65,72,64,73,M,M,M,M,0.00,0.01,M,M,
19,18,66,74,64,73,M,M,M,M,0.00,0.00,M,M,
20,19,65,71,64,73,M,M,M,M,0.00,0.00,M,M,
21,20,67,74,64,73,M,M,M,M,0.00,0.01,M,M,
22,21,68,75,64,73,M,M,M,M,0.00,0.00,M,M,
23,22,68,77,64,73,M,M,M,M,0.00,0.00,M,M,
24,23,70,82,64,74,M,M,M,M,0.00,0.00,M,M,
25,24,71,83,64,74,M,M,M,M,0.00,0.00,M,M,
26,25,72,85,64,74,M,M,M,M,T,0.00,M,M,
27,26,71,83,64,74,M,M,M,M,0.00,0.01,M,M,
28,27,71,78,65,74,M,M,M,M,0.00,0.00,M,M,
29,28,67,77,65,74,M,M,M,M,0.00,0.00,M,M,
30,29,67,75,65,74,M,M,M,M,0.00,0.00,M,M,
31,30,67,74,65,74,M,M,M,M,0.00,0.00,M,M,
32,31,66,74,65,74,M,M,M,M,0.00,0.00,M,M,
33,Average:,66.4,74.8,63.5,73.2,,,,,Total: 0.00,Total: 0.10,,,
